ligando,MolWt,ExactMolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumHeavyAtoms,FractionCSP3,NumRings,FormalCharge
1-Butanethiol,90.19099999999995,90.05032132,1.7163,0.0,1,1,3,5,1.0,0,0
1-Dodecanethiol,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,1.0,0,0
1-Hexanethiol,118.24499999999992,118.08162144799999,2.4965000000000015,0.0,1,1,5,7,1.0,0,0
11-Mercaptoundecanesulfonic_acid_MUS,268.44399999999985,268.11668662800037,4.395700000000005,60.03,2,2,13,16,1.0,0,0
11-Mercaptoundecanoic_acid_MUA,218.3620000000002,218.134050944,3.5117000000000034,37.3,2,3,11,14,0.9090909090909091,0,0
2-Mercaptosuccinic_acid,150.15500000000003,149.998679672,-0.29840000000000005,74.6,3,5,4,9,0.5,0,0
3-Mercapto-1-propanesulfonic_acid_MPS,156.22800000000007,155.991486116,1.2749,60.03,2,2,5,8,1.0,0,0
3-Mercaptopropionic_acid,106.14599999999996,106.008850432,0.3909000000000001,37.3,2,3,3,6,0.6666666666666666,0,0
4-Aminothiophenol,125.19599999999996,125.029920224,1.5574999999999999,26.02,2,2,2,8,0.0,1,0
4-Mercaptobenzoic_acid,154.19000000000003,154.008850432,1.6735,37.3,2,3,2,10,0.0,1,0
5-Fluorouracil,146.07700000000003,146.012770176,-1.0252000000000001,75.09,2,3,1,10,0.0,1,0
6-Mercaptohexanoic_acid,148.2270000000001,148.055800624,1.5612,37.3,2,3,6,9,0.8333333333333334,0,0
Arginine,174.20400000000012,174.111675688,-1.338429999999999,125.22000000000001,5,4,6,12,0.6666666666666666,0,0
Biotin,244.31600000000012,244.088163372,0.7968000000000001,78.43,3,4,5,16,0.8,2,0
Citric_acid,192.12300000000005,192.027002596,-1.2484999999999995,132.13,4,7,6,13,0.5,0,0
Curcumin,368.38499999999976,368.1259883600005,3.3699000000000026,93.06000000000002,2,6,10,27,0.14285714285714285,2,0
Cysteamine_2-aminoethanethiol,77.15199999999997,77.029920224,-0.12509999999999988,26.02,2,2,3,4,1.0,0,0
D-Galactose,180.1560000000001,180.063388104,-3.2214000000000005,110.38000000000001,5,6,6,12,1.0,1,0
D-Glucose,180.1560000000001,180.063388104,-3.2214000000000005,110.38000000000001,5,6,6,12,1.0,1,0
Dihydrolipoic_acid_DHLA,220.35900000000012,220.059171752,2.8276000000000012,37.3,1,4,6,13,0.8888888888888888,1,0
Dithiothreitol_DTT,182.26600000000008,182.00713618,-0.5358999999999999,60.69,3,5,5,10,1.0,1,0
Doxorubicin_proxy_daunorubicin_aglycone,356.3299999999998,356.0896028520004,0.7021999999999995,124.29000000000002,4,7,5,26,0.2631578947368421,4,0
Folic_acid,586.5180000000014,586.1771890320008,-1.4904999999999937,288.79,8,13,14,42,0.2916666666666667,3,0
Gemcitabine,281.18999999999977,281.0623404600003,-1.1495000000000002,110.60000000000001,3,6,5,19,0.5555555555555556,2,0
Glutathione_GSH,307.3279999999997,307.08380626400043,-2.206099999999998,158.82,6,8,11,20,0.6,0,0
HEPES,250.36400000000017,250.135113564,1.3711,66.51,1,3,7,16,1.0,1,0
Histidine,155.15700000000007,155.069476528,-0.6359000000000001,92.0,3,4,4,11,0.3333333333333333,1,0
L-Cysteine,121.16099999999996,121.019749464,-0.6719000000000002,63.32000000000001,3,4,4,7,0.6666666666666666,0,0
L-Homocysteine,149.2150000000001,149.051049592,0.10830000000000006,63.32000000000001,3,4,6,9,0.8,0,0
Lipoic_acid_thioctic_acid,220.35900000000012,220.059171752,3.175200000000002,37.3,1,4,6,13,0.8888888888888888,1,0
Lysine,146.1900000000001,146.105527688,-0.4727000000000004,89.34,3,4,7,10,0.8333333333333334,0,0
Mannose,180.1560000000001,180.063388104,-3.2214000000000005,110.38000000000001,5,6,6,12,1.0,1,0
Mercaptoethanol_2-mercaptoethanol,78.13599999999997,78.013935812,-0.09150000000000003,20.23,2,2,3,4,1.0,0,0
Methionine,149.2150000000001,149.051049592,0.1513999999999997,63.32000000000001,2,4,5,9,0.8,0,0
Methotrexate,422.4019999999998,422.1662304240005,-2.1779099999999962,220.32999999999996,5,10,10,30,0.4375,2,0
mPEG-thiol_n_3_methyl-capped,180.26900000000015,180.082015372,0.5958000000000001,27.69,1,4,9,11,1.0,0,0
mPEG-thiol_n_6_methyl-capped,312.42799999999943,312.16065961600077,0.6456000000000004,55.38000000000001,1,7,18,20,1.0,0,0
PEG-amine_n_3_proxy,177.24400000000017,177.136493468,0.014799999999999924,53.71000000000001,1,4,10,12,1.0,0,0
PEG-dithiol_n_3,226.36300000000014,226.069736436,0.8957999999999999,27.69,2,5,12,13,1.0,0,0
PEG-thiol_n_3,166.24200000000013,166.066365308,-0.05829999999999996,38.69,2,4,9,10,1.0,0,0
PEG-thiol_n_4,210.29500000000016,210.092580056,-0.041700000000000015,47.92,2,5,12,13,1.0,0,0
PEG-thiol_n_6,298.40099999999944,298.1450095520007,-0.008499999999999008,66.38000000000001,2,7,18,19,1.0,0,0
Polyethyleneimine_fragment_ethylenediamine,60.100000000000016,60.06874825599999,-1.0962,52.04,2,2,3,4,1.0,0,0
PSS_styrene_sulfonate_anion,206.19800000000004,206.001359364,2.199200000000001,49.03,0,1,3,13,0.0,1,0
PSS_styrene_sulfonate_monomer,206.19800000000004,206.001359364,2.199200000000001,49.03,0,1,3,13,0.0,1,0
PVP_monomer_N-vinyl-2-pyrrolidone,125.17099999999992,125.084063972,0.7948,20.310000000000002,0,2,1,9,0.5714285714285714,1,0
RGD_peptide_Arg-Gly-Asp,346.34399999999965,346.1600824240005,-3.262729999999996,220.71999999999997,8,8,12,24,0.5833333333333334,0,0
SDS_dodecyl_sulfate_anion,265.3949999999999,265.1473552800003,4.680000000000004,68.93,0,1,12,17,1.0,0,0
SDS_sodium_dodecyl_sulfate,288.38499999999993,288.1371245600003,4.299200000000004,68.93,0,1,12,18,1.0,0,0
Sodium_citrate_citrate3-,189.09900000000002,189.0035275,-1.631,131.14000000000001,1,4,6,13,0.5,0,0
Tannic_acid_approx,280.1439999999999,279.9855317080001,-0.03060000000000035,151.32,3,9,3,20,0.0,3,0
TAT_peptide_fragment_YGRKKK_6_aa,808.9830000000023,808.4919216280019,-3.5868300000000115,389.23999999999995,15,14,36,57,0.6388888888888888,1,0
Thioacetic_acid,76.11999999999998,75.998285748,0.46269999999999994,17.07,1,2,0,4,0.5,0,0
Thioglycolic_acid_mercaptoacetic_acid,92.11899999999997,91.993200368,0.0008000000000000229,37.3,2,3,2,5,0.5,0,0
Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol,136.21600000000004,136.055800624,0.5792000000000002,18.46,1,3,6,8,1.0,0,0
Tris_buffer_Tris_base,121.13599999999994,121.073893212,-2.3391999999999995,86.71000000000001,4,4,7,8,1.0,0,0
