proteina,ligando,log
1ao6,CTAB_cetyltrimethylammonium_bromide,logs_final\1ao6_CTAB_cetyltrimethylammonium_bromide_log.txt
1ao6,PSS_styrene_sulfonate_anion,logs_final\1ao6_PSS_styrene_sulfonate_anion_log.txt
1ao6,PSS_styrene_sulfonate_monomer,logs_final\1ao6_PSS_styrene_sulfonate_monomer_log.txt
1ao6,SDS_sodium_dodecyl_sulfate,logs_final\1ao6_SDS_sodium_dodecyl_sulfate_log.txt
1hzh,CTAB_cetyltrimethylammonium_bromide,logs_final\1hzh_CTAB_cetyltrimethylammonium_bromide_log.txt
1hzh,PSS_styrene_sulfonate_anion,logs_final\1hzh_PSS_styrene_sulfonate_anion_log.txt
1hzh,PSS_styrene_sulfonate_monomer,logs_final\1hzh_PSS_styrene_sulfonate_monomer_log.txt
1hzh,SDS_sodium_dodecyl_sulfate,logs_final\1hzh_SDS_sodium_dodecyl_sulfate_log.txt
2hav,CTAB_cetyltrimethylammonium_bromide,logs_final\2hav_CTAB_cetyltrimethylammonium_bromide_log.txt
2hav,PSS_styrene_sulfonate_anion,logs_final\2hav_PSS_styrene_sulfonate_anion_log.txt
2hav,PSS_styrene_sulfonate_monomer,logs_final\2hav_PSS_styrene_sulfonate_monomer_log.txt
2hav,SDS_sodium_dodecyl_sulfate,logs_final\2hav_SDS_sodium_dodecyl_sulfate_log.txt
3ghg,CTAB_cetyltrimethylammonium_bromide,logs_final\3ghg_CTAB_cetyltrimethylammonium_bromide_log.txt
3ghg,PSS_styrene_sulfonate_anion,logs_final\3ghg_PSS_styrene_sulfonate_anion_log.txt
3ghg,PSS_styrene_sulfonate_monomer,logs_final\3ghg_PSS_styrene_sulfonate_monomer_log.txt
3ghg,SDS_sodium_dodecyl_sulfate,logs_final\3ghg_SDS_sodium_dodecyl_sulfate_log.txt
