proteina,ligando,afinidad_kcal_mol,estado,log
1ao6,Folic_acid,-9.21,ok,logs_final\1ao6_Folic_acid_log.txt
1ao6,Doxorubicin_proxy_daunorubicin_aglycone,-8.36,ok,logs_final\1ao6_Doxorubicin_proxy_daunorubicin_aglycone_log.txt
1ao6,Curcumin,-7.742,ok,logs_final\1ao6_Curcumin_log.txt
1ao6,Methotrexate,-7.615,ok,logs_final\1ao6_Methotrexate_log.txt
1ao6,Tannic_acid_approx,-7.531,ok,logs_final\1ao6_Tannic_acid_approx_log.txt
1ao6,TAT_peptide_fragment_YGRKKK_6_aa,-7.4,ok,logs_final\1ao6_TAT_peptide_fragment_YGRKKK_6_aa_log.txt
1ao6,Gemcitabine,-6.74,ok,logs_final\1ao6_Gemcitabine_log.txt
1ao6,Biotin,-6.604,ok,logs_final\1ao6_Biotin_log.txt
1ao6,RGD_peptide_Arg-Gly-Asp,-6.553,ok,logs_final\1ao6_RGD_peptide_Arg-Gly-Asp_log.txt
1ao6,Glutathione_GSH,-5.991,ok,logs_final\1ao6_Glutathione_GSH_log.txt
1ao6,HEPES,-5.595,ok,logs_final\1ao6_HEPES_log.txt
1ao6,CTAB_cetyltrimethylammonium_cation,-5.508,ok,logs_final\1ao6_CTAB_cetyltrimethylammonium_cation_log.txt
1ao6,Lipoic_acid_thioctic_acid,-5.395,ok,logs_final\1ao6_Lipoic_acid_thioctic_acid_log.txt
1ao6,5-Fluorouracil,-5.307,ok,logs_final\1ao6_5-Fluorouracil_log.txt
1ao6,11-Mercaptoundecanesulfonic_acid_MUS,-5.275,ok,logs_final\1ao6_11-Mercaptoundecanesulfonic_acid_MUS_log.txt
1ao6,SDS_dodecyl_sulfate_anion,-5.268,ok,logs_final\1ao6_SDS_dodecyl_sulfate_anion_log.txt
1ao6,Dihydrolipoic_acid_DHLA,-5.228,ok,logs_final\1ao6_Dihydrolipoic_acid_DHLA_log.txt
1ao6,4-Mercaptobenzoic_acid,-5.176,ok,logs_final\1ao6_4-Mercaptobenzoic_acid_log.txt
1ao6,11-Mercaptoundecanoic_acid_MUA,-5.165,ok,logs_final\1ao6_11-Mercaptoundecanoic_acid_MUA_log.txt
1ao6,Arginine,-5.009,ok,logs_final\1ao6_Arginine_log.txt
1ao6,Histidine,-4.95,ok,logs_final\1ao6_Histidine_log.txt
1ao6,D-Glucose,-4.905,ok,logs_final\1ao6_D-Glucose_log.txt
1ao6,Sodium_citrate_citrate3-,-4.811,ok,logs_final\1ao6_Sodium_citrate_citrate3-_log.txt
1ao6,D-Galactose,-4.806,ok,logs_final\1ao6_D-Galactose_log.txt
1ao6,Citric_acid,-4.765,ok,logs_final\1ao6_Citric_acid_log.txt
1ao6,Mannose,-4.721,ok,logs_final\1ao6_Mannose_log.txt
1ao6,1-Dodecanethiol,-4.709,ok,logs_final\1ao6_1-Dodecanethiol_log.txt
1ao6,Lysine,-4.592,ok,logs_final\1ao6_Lysine_log.txt
1ao6,4-Aminothiophenol,-4.52,ok,logs_final\1ao6_4-Aminothiophenol_log.txt
1ao6,PVP_monomer_N-vinyl-2-pyrrolidone,-4.441,ok,logs_final\1ao6_PVP_monomer_N-vinyl-2-pyrrolidone_log.txt
1ao6,mPEG-thiol_n_6_methyl-capped,-4.282,ok,logs_final\1ao6_mPEG-thiol_n_6_methyl-capped_log.txt
1ao6,2-Mercaptosuccinic_acid,-4.27,ok,logs_final\1ao6_2-Mercaptosuccinic_acid_log.txt
1ao6,PEG-amine_n_3_proxy,-4.153,ok,logs_final\1ao6_PEG-amine_n_3_proxy_log.txt
1ao6,PEG-thiol_n_4,-4.114,ok,logs_final\1ao6_PEG-thiol_n_4_log.txt
1ao6,Dithiothreitol_DTT,-4.1,ok,logs_final\1ao6_Dithiothreitol_DTT_log.txt
1ao6,6-Mercaptohexanoic_acid,-3.99,ok,logs_final\1ao6_6-Mercaptohexanoic_acid_log.txt
1ao6,PEG-thiol_n_6,-3.933,ok,logs_final\1ao6_PEG-thiol_n_6_log.txt
1ao6,L-Homocysteine,-3.928,ok,logs_final\1ao6_L-Homocysteine_log.txt
1ao6,Methionine,-3.854,ok,logs_final\1ao6_Methionine_log.txt
1ao6,PEG-thiol_n_3,-3.783,ok,logs_final\1ao6_PEG-thiol_n_3_log.txt
1ao6,L-Cysteine,-3.76,ok,logs_final\1ao6_L-Cysteine_log.txt
1ao6,mPEG-thiol_n_3_methyl-capped,-3.745,ok,logs_final\1ao6_mPEG-thiol_n_3_methyl-capped_log.txt
1ao6,Tris_buffer_Tris_base,-3.688,ok,logs_final\1ao6_Tris_buffer_Tris_base_log.txt
1ao6,1-Hexanethiol,-3.657,ok,logs_final\1ao6_1-Hexanethiol_log.txt
