ligando,MolWt,ExactMolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumHeavyAtoms,NumAtoms,FractionCSP3,NumRings,FormalCharge,Chi0n,Chi1n,Kappa1,Kappa2,LabuteASA,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,y_1ao6,y_1hzh,y_2hav,y_3ghg,n_layerposition,mem_distribution_mean,mem_distribution_min,mem_distribution_max,mem_distribution_center,mem_distribution_argmax_depth,mem_distribution_argmin_depth,mem_free_energy_mean,mem_free_energy_min,mem_free_energy_max,mem_free_energy_center,mem_free_energy_argmax_depth,mem_free_energy_argmin_depth,mem_meanentropy_mean,mem_meanentropy_min,mem_meanentropy_max,mem_meanentropy_center,mem_meanentropy_argmax_depth,mem_meanentropy_argmin_depth,mem_distribution_sum,mem_distribution_nonzero_center,mem_free_energy_barrier,mem_logP,mem_logP_kg_l,mem_logPerm,mem_diffusion_E9_mean,mem_diffusion_E9_min,mem_diffusion_E9_max,mem_diffusion_E9_center,mem_diffusion_E9_argmax_depth,mem_diffusion_E9_argmin_depth
1-Butanethiol,90.19099999999996,90.05032132,1.7163,0.0,1,1,3,5,15,1.0,0,0,12.408248290463863,5.862372435695795,0.4916188129029124,4.349999999999999,52.719744903903525,0.5846479433929394,0.9862456555791664,0.0164685181983824,0.1652861362946694,0.904700283613982,54.93513579763599,300.68966490867587,332.3638450819523,1.952963094911496,0.2961851744192379,-3.07,-2.759,-2.821,-2.861,30.0,0.0333333333333333,0.0008218197547278,0.093684199711615,0.056819065228031,10.81,33.58,-1.6789951885559613,-2.919045460321,0.0,-2.610844346709,33.58,10.81,7.84726583660364,5.30541954e-05,30.0,1.0,,,1.0000000000000009,1.0,2.919045460321,1.95159551,1.84699003,-0.64454488,0.3431049821203533,0.0001186961341826,1.312787859363,0.21087186632638,33.58,16.51
1-Dodecanethiol,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,39,1.0,0,0,32.40824829046386,15.862372435695796,1.384472852628555,12.35,126.11880982176126,0.5792845441229384,0.9858366265632472,0.0018200658839408,0.167708514173837,0.8849369646590651,486.2115006204973,2565.561633295746,2899.146194310197,3.8341073610708274,0.1893095371039852,-4.709,-4.525,-4.842,-4.179,30.0,0.0333333333333333,3.4883144241109e-07,0.094874235143882,0.094874235143882,0.57,33.58,-4.651673689996757,-7.7124443404214,0.0,-7.7124443404214,33.58,0.57,8.250922537017667,0.0012815373,30.0,1.0,,,1.0000000000000009,1.0,7.7124443404214,5.32858249,5.22397701,1.15922845,0.1815281656026248,6.3803254279407e-05,0.69033227599378,0.11493478539179,33.58,16.51
1-Hexanethiol,118.24499999999992,118.081621448,2.496500000000001,0.0,1,1,5,7,21,1.0,0,0,17.408248290463863,8.362372435695795,0.7156587120960582,6.35,71.06951113336798,0.7377993100359836,0.995297736904022,0.0114703252484954,0.0968628665368295,0.9449953079741276,82.38609520667977,803.7597502136693,850.5436412554919,2.7099089354898807,0.1978727753085032,-3.657,-3.382,-3.479,-3.182,30.0,0.0333333333333333,6.386337050601e-05,0.089920764451426,0.075593838836187,9.68,33.58,-2.64256957486075,-4.4683630857812,0.0,-4.3613962768519,33.58,9.68,7.958929707688433,4.7851475e-05,30.0,1.0,,,1.000000000000001,1.0,4.4683630857812,3.06557504,2.96096956,-0.02658546,0.2854021214275508,9.9178697219645e-05,1.0901510367579,0.17686918841061,33.58,16.51
11-Mercaptoundecanesulfonic_acid_MUS,268.44399999999985,268.1166866280004,4.395700000000005,60.03,2,2,13,16,40,1.0,0,0,31.54124145231932,15.22474487139159,2.5690221760011185,10.716297452503817,140.09950659921066,0.6387190319678226,0.9902102704709962,0.0010428186791302,0.1395837392168462,0.8961541537057167,859.357596522093,5517.239213984963,6156.573834055719,4.831573914244436,0.1326952484004227,-5.275,-5.009,-5.483,-5.2,30.0,0.0333333333333331,5.3752226038546e-06,0.22231937694969,6.3388485520669e-06,14.23,33.58,-3.0772096644683544,-6.5516439305859,0.0,-0.10163125635783,33.58,14.23,8.467665951566666,0.308655981,30.0,1.0,,,0.9999999999999952,1.0,6.5516439305859,4.14077229,4.03616681,1.02477344,0.1399154328316929,4.8121690163906e-05,0.5321055744696,0.093253468433392,33.58,16.51
11-Mercaptoundecanoic_acid_MUA,218.3620000000002,218.134050944,3.511700000000004,37.3,2,3,11,14,36,0.9090909090909092,0,0,28.72474487139159,13.92886901662352,1.873382934999098,10.898003120124804,123.17641181706044,0.7416643839831054,0.9954261293955888,0.0025881157683204,0.0955343965099295,0.9591004446773038,370.57864892176906,3720.35790200278,3879.0075874216914,4.271929817672602,0.1427671382833186,-5.165,-4.506,-5.229,-4.747,30.0,0.0333333333333332,2.6299838727229e-05,0.19270472024241,0.0004681672743719,11.95,33.58,-2.8092173891900667,-5.4849479838511,0.0,-1.7745795165561,33.58,11.95,8.225982739366666,0.15224137,30.0,1.0,,,0.9999999999999962,1.0,5.4849479838511,3.45109338,3.3464879,0.47721226,0.1720874095858731,5.9746060894642e-05,0.65396109344598,0.11263589723903,33.58,16.51
2-Mercaptosuccinic_acid,150.15500000000003,149.998679672,-0.2984,74.6,3,5,4,9,15,0.5,0,0,10.041241452319316,4.495365597551247,2.4943628247787246,3.341930325442243,65.18471512396627,0.1912276398293744,0.8968077245768434,0.0028168372207865,0.4424205071414573,0.7856012209392045,278.8947885031987,495.2304037110109,630.3839537303054,2.162605926486685,0.4406479710769199,-4.27,-3.997,-4.604,-3.709,30.0,0.0333333333333335,7.229661544073401e-10,0.17626047624807,7.229661544073401e-10,17.64,0.57,-0.1054369996647575,-3.9900495088407,7.9124561589688,7.9124561589688,0.57,17.64,8.076690469183815,0.000666005619,30.0,1.0,,,1.0000000000000058,1.0,11.9025056678095,2.43502176,2.33041628,-3.89428159,0.2897012566768476,9.4478765660135e-05,1.1122628388172,0.19042498138364,33.58,16.51
3-Mercapto-1-propanesulfonic_acid_MPS,156.2280000000001,155.991486116,1.2749,60.03,2,2,5,8,16,1.0,0,0,11.541241452319316,5.224744871391589,2.030910535049544,3.575937953547972,66.70044168135288,0.5493087519879288,0.982673582636232,0.0060079991690009,0.1853446249257655,0.9555628768391397,159.04843691881408,819.9902317090766,858.1227374816849,2.424818419502292,0.3038778445019297,-3.585,-3.627,-3.929,-3.535,30.0,0.0333333333333334,1.2698988357994e-07,0.15840048452101,1.2698988357994e-07,16.51,0.57,-0.0773403564202439,-2.8160904170435,5.8350607085926,5.8350607085926,0.57,16.51,8.127233409250666,0.00376487984,30.0,1.0,,,1.0000000000000042,1.0,8.651151125636101,1.64608857,1.54148309,-2.42173868,0.2860209802651761,9.5843280383905e-05,1.09662657447,0.18419607790462,33.58,16.51
3-Mercaptopropionic_acid,106.14599999999996,106.008850432,0.3909000000000001,37.3,2,3,3,6,12,0.6666666666666666,0,0,8.72474487139159,3.928869016623521,1.1549482884095654,3.0274688796680502,49.77734689920266,0.6873676811201163,0.99301764386016,0.0157808456289417,0.1179659229710715,0.9007693095696084,57.0799138873533,435.8532814193509,483.8678191951317,2.1450441565223173,0.2309999986605078,-3.343,-3.189,-3.557,-3.109,30.0,0.0333333333333333,1.7091129222678e-07,0.12137381899076,1.7091129222678e-07,19.92,0.57,0.7591432603939178,-1.6317606376644,6.6722181644485,6.6722181644485,0.57,19.92,8.010393463838,0.00108193014,30.0,1.0,,,0.9999999999999996,1.0,8.3039788021129,0.88363682,0.77903134,-3.01892204,0.3357218899147881,0.0001135198485919,1.2866914895933,0.21408186365887,33.58,16.51
4-Aminothiophenol,125.19599999999996,125.029920224,1.5575,26.02,2,2,2,8,15,0.0,1,0,10.85546188596382,5.23040642444569,1.448214249221175,2.092227094578511,63.55816311336705,0.6171243696694259,0.988687013840064,0.0093598832264369,0.1499932953968856,0.8563159161506224,91.48788456376896,522.3068903153979,609.9464934195224,2.2107242668404967,0.0392138282779952,-4.52,-4.245,-4.056,-3.797,30.0,0.0333333333333333,0.0037658901678424,0.099761010067852,0.0043748444793254,13.09,33.58,-1.0108109422422915,-2.0195898492747,0.0,-0.09237985279884,33.58,13.09,7.845507008809833,0.00028411974,30.0,1.0,,,1.0,1.0,2.0195898492747,1.27275416,1.16814868,-0.6923902,0.3152756682123647,0.0001081182388223,1.2072623767417,0.19364704617167,33.58,16.51
4-Mercaptobenzoic_acid,154.19000000000003,154.008850432,1.6735,37.3,2,3,2,10,16,0.0,1,0,10.72474487139159,5.178869016623521,2.5833595518334085,2.7488332358362486,72.10455687647344,0.6673132009702915,0.9918985089906664,0.006618645642894,0.1270328613473406,0.8729724802804897,131.8959387435603,906.391649866586,1038.2820424938925,2.5949568889063594,8.246651581814602e-06,-5.176,-4.841,-5.001,-4.976,30.0,0.0333333333333333,4.5813518612748e-05,0.13425638972728,4.5813518612748e-05,14.23,0.57,-1.1165109341818096,-2.9986693959211,1.9214577956514,1.9214577956514,0.57,14.23,7.968608493314833,0.00215608033,30.0,1.0,,,0.9999999999999998,1.0,4.9201271915725,1.85017229,1.74556681,-0.25998153,0.2821926591519675,9.5314605677429e-05,1.079726805455,0.17921073142077,33.58,16.51
5-Fluorouracil,146.07700000000003,146.012770176,-1.0252,75.09,2,3,1,10,13,0.0,1,0,7.497136535400732,3.531292363605235,3.5469994646208067,1.9769273239524408,57.65840038460413,0.2797256378542663,0.9163150506550009,0.0023686892964446,0.4004581475549266,0.5995420671828599,253.11131691385071,378.943175701256,632.0543568891532,2.080110074623116,5.882502663610161e-07,-5.307,-4.926,-5.327,-5.21,30.0,0.0333333333333335,6.3337169267313e-12,0.2595670818533,6.3337169267313e-12,19.92,0.57,1.364787189632895,-3.2891931325742,11.771718667446,11.771718667446,0.57,19.92,8.254764711990001,0.0022446953,30.0,1.0,,,1.0000000000000056,1.0,15.0609118000202,1.76735398,1.6627485,-6.4248827,0.3062959007544959,0.0001028005321569,1.1749482736667,0.20231441618115,33.58,16.51
6-Mercaptohexanoic_acid,148.2270000000001,148.055800624,1.5612,37.3,2,3,6,9,21,0.8333333333333334,0,0,16.22474487139159,7.678869016623521,1.3730134479742506,5.947877237851663,77.30199624339932,0.3514005607198205,0.9536885184014724,0.0032535565009161,0.3007959605267404,0.8410441025377956,258.4999222546052,722.781764548952,859.3862823221817,2.491776410982925,0.3756271366850701,-3.99,-4.096,-4.177,-3.881,30.0,0.0333333333333332,0.0001051760315052,0.15257197711405,0.0001051760315052,14.23,0.57,-0.964898681286044,-2.7971147717638,1.6896261434382,1.6896261434382,0.57,14.23,7.99902298027,0.0017321712,30.0,1.0,,,0.9999999999999972,1.0,4.486740915202001,1.64906136,1.54445588,-0.43110346,0.2702732049506363,9.2532793968171e-05,1.0320685959663,0.1727943388921,33.58,16.51
Arginine,174.20400000000012,174.111675688,-1.338429999999999,125.22,5,4,6,12,26,0.6666666666666666,0,0,19.60535096292756,9.117812142677373,1.7923819188520356,5.363379355687048,90.5393090828573,0.7361387212079524,0.995224871139522,0.0048822616307883,0.0976086874480032,0.9481344925651348,194.19985331921595,1886.385158914512,1989.5755019005608,3.4179185497009343,0.1454915288352558,-5.009,-5.494,-5.406,-4.538,30.0,0.0333333333333333,3.8118425407734e-12,0.089391293392353,3.8118425407734e-12,26.75,0.57,3.640364555274178,-0.23402677412775,14.482838284526,14.482838284526,0.57,26.75,8.116426107023335,0.0155289495,30.0,1.0,,,1.000000000000001,1.0,14.71686505865375,-0.51017894,-0.61478442,-8.64006978,0.2137865366100258,7.5068659982133e-05,0.8157673822482,0.13891624652782,33.58,16.51
