ligando,nanoparticula,proteina,ICNB_0_100,ICNB_global_0_100,ICNB_bruto,ranking_ICNB_por_proteina,ranking_ICNB_global,y_ligando_proteina,E_nano_proteina,score_ligando_proteina,score_nano_proteina,score_contextual,score_contextual_medio
Folic_acid,ZnO_12_0,1ao6,100.0,99.83311939828582,2.18096976357945,1,2,-9.21,-7.76,2.9479031755003704,1.4140363516585297,4.3619395271589,2.18096976357945
Doxorubicin_proxy_daunorubicin_aglycone,ZnO_12_0,1ao6,91.36195820126272,91.22133765776682,1.8967981902372753,2,4,-8.36,-7.76,2.379560028816021,1.4140363516585297,3.7935963804745514,1.8967981902372757
Curcumin,ZnO_12_0,1ao6,85.08159369347493,84.96006575701307,1.6901887404426126,3,8,-7.742,-7.76,1.9663411292266952,1.4140363516585297,3.3803774808852247,1.6901887404426124
Methotrexate,ZnO_12_0,1ao6,83.79096862472242,83.67336424990023,1.6477301641903113,4,11,-7.615,-7.76,1.8814239767220928,1.4140363516585297,3.295460328380622,1.647730164190311
Tannic_acid_approx,ZnO_12_0,1ao6,82.93732684696485,82.82231758377834,1.6196473263541433,5,14,-7.531,-7.76,1.8252583010497567,1.4140363516585297,3.239294652708286,1.619647326354143
TAT_peptide_fragment_YGRKKK_6_aa,ZnO_12_0,1ao6,81.60605216974771,81.49509004494543,1.5758514721096435,6,17,-7.4,-7.76,1.7376665925607575,1.4140363516585297,3.151702944219287,1.5758514721096435
Gemcitabine,ZnO_12_0,1ao6,74.89886677308112,74.8082948111307,1.3552006033968966,7,20,-6.74,-7.76,1.2963648551352636,1.4140363516585297,2.710401206793793,1.3552006033968964
Biotin,ZnO_12_0,1ao6,73.51678008528316,73.43040973264768,1.3097331516621487,8,22,-6.604,-7.76,1.2054299516657676,1.4140363516585297,2.6194663033242973,1.3097331516621489
RGD_peptide_Arg-Gly-Asp,ZnO_12_0,1ao6,72.99849757735892,72.91370282821653,1.2926828572616182,9,24,-6.553,-7.76,1.1713293628647066,1.4140363516585297,2.585365714523236,1.292682857261618
Folic_acid,Au_13,1ao6,68.0575320758411,67.98775809700146,1.130136533324985,10,30,-9.21,-2.34,2.9479031755003704,-0.6876301088504001,2.26027306664997,1.130136533324985
Folic_acid,Ag_13,1ao6,67.4681876491961,67.40020530546485,1.1107484663461205,11,32,-9.21,-2.24,2.9479031755003704,-0.7264062428081293,2.221496932692241,1.1107484663461205
Glutathione_GSH,ZnO_12_0,1ao6,67.28722758807616,67.21979537154398,1.1047952993577335,12,33,-5.991,-7.76,0.7955542470569373,1.4140363516585297,2.209590598715467,1.1047952993577337
HEPES,ZnO_12_0,1ao6,63.26291635007622,63.20771823125516,0.9724047781300853,13,39,-5.595,-7.76,0.530773204601641,1.4140363516585297,1.9448095562601704,0.9724047781300852
Lipoic_acid_thioctic_acid,ZnO_12_0,1ao6,61.23043592684393,61.18141664525071,0.905540878520162,14,45,-5.395,-7.76,0.3970454053817941,1.4140363516585297,1.811081757040324,0.905540878520162
5-Fluorouracil,ZnO_12_0,1ao6,60.33614454062172,60.289843947408734,0.876120762691796,15,49,-5.307,-7.76,0.3382051737250622,1.4140363516585297,1.7522415253835917,0.8761207626917958
11-Mercaptoundecanesulfonic_acid_MUS,ZnO_12_0,1ao6,60.01094767290454,59.96563569364802,0.8654225387542082,16,51,-5.275,-7.76,0.3168087258498867,1.4140363516585297,1.730845077508416,0.865422538754208
SDS_dodecyl_sulfate_anion,ZnO_12_0,1ao6,59.939810858091406,59.894715138137855,0.8630823022678606,17,52,-5.268,-7.76,0.3121282528771917,1.4140363516585297,1.7261646045357213,0.8630823022678606
Dihydrolipoic_acid_DHLA,ZnO_12_0,1ao6,59.53331477344495,59.48945482093696,0.8497095223458759,18,54,-5.228,-7.76,0.2853826930332223,1.4140363516585297,1.699419044691752,0.8497095223458759
Doxorubicin_proxy_daunorubicin_aglycone,Au_13,1ao6,59.41949027710382,59.37597635648248,0.8459649599828103,19,56,-8.36,-2.34,2.379560028816021,-0.6876301088504001,1.6919299199656206,0.8459649599828103
