feature_set,modelo,n_ligandos,n_features,CV_RMSE,TEST_MAE,TEST_RMSE,TEST_R2,best_params
RDKit_solo,ExtraTrees,52,26,0.5102964832694344,0.3188171212121222,0.4116929200363795,0.8840432552183918,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
RDKit_membrana_seleccionada,ExtraTrees,52,49,0.5115759246817488,0.3389415084580942,0.4117237206601575,0.8862422904179125,"{'model__max_depth': 5, 'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
RDKit_membrana_filtrada_auto,ExtraTrees,52,49,0.5115759246817488,0.3389415084580942,0.4117237206601575,0.8862422904179125,"{'model__max_depth': 5, 'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
RDKit_solo,PLSRegression,52,26,0.4001044634507241,0.3169573492189886,0.4264292173583617,0.8862627505733409,{'model__n_components': 8}
RDKit_solo,PCA_Ridge,52,26,0.3908485087831937,0.3473104675647378,0.4666490715126474,0.8647909281705689,"{'model__alpha': 0.1, 'pca__n_components': 15}"
RDKit_membrana_seleccionada,PLSRegression,52,49,0.3432205661591462,0.3590604201689872,0.4704190509644934,0.8517505976698201,{'model__n_components': 8}
RDKit_membrana_filtrada_auto,PLSRegression,52,49,0.3432205661591462,0.3590604201689872,0.4704190509644934,0.8517505976698201,{'model__n_components': 8}
RDKit_membrana_seleccionada,Ridge,52,49,0.3370915509254273,0.3738399512091835,0.4858746558649904,0.8434865671116613,{'model__alpha': 1.0}
RDKit_membrana_filtrada_auto,Ridge,52,49,0.3370915509254273,0.3738399512091835,0.4858746558649904,0.8434865671116613,{'model__alpha': 1.0}
RDKit_membrana_filtrada_auto,PCA_Ridge,52,49,0.3321796126654585,0.3904272873663665,0.4929380876277336,0.838544954908085,"{'model__alpha': 0.01, 'pca__n_components': 15}"
RDKit_membrana_seleccionada,PCA_Ridge,52,49,0.3321796126654585,0.3904272873663665,0.4929380876277336,0.838544954908085,"{'model__alpha': 0.01, 'pca__n_components': 15}"
RDKit_solo,Ridge,52,26,0.4200096365741618,0.348344307710933,0.5391790096154107,0.8162468888889944,{'model__alpha': 1.0}
RDKit_solo,RandomForest,52,26,0.637841917240589,0.4762834848484857,0.5949783716488586,0.7638511359830582,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 600}"
RDKit_membrana_filtrada_auto,RandomForest,52,49,0.6534228762595269,0.519376146928904,0.6260829429552773,0.7405776726658113,"{'model__max_depth': 5, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
RDKit_membrana_seleccionada,RandomForest,52,49,0.6534228762595269,0.519376146928904,0.6260829429552773,0.7405776726658113,"{'model__max_depth': 5, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
Membrana_solo,RandomForest,52,23,0.7946104352997667,0.6209618320707074,0.7306759664039378,0.6499227063469709,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
Membrana_solo,ExtraTrees,52,23,0.7666154075042758,0.6200535606060593,0.7441685210084115,0.6411123548723852,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
Membrana_solo,Ridge,52,23,0.8244668348848482,0.693308883295745,0.860385281306521,0.5205744968999286,{'model__alpha': 10.0}
Membrana_solo,PCA_Ridge,52,23,0.7682542384321975,0.9001843713690169,1.1750245925726597,0.1012539556240635,"{'model__alpha': 10.0, 'pca__n_components': 5}"
Membrana_solo,PLSRegression,52,23,0.7594786243140849,0.9569541885161136,1.3511245363238302,-0.1879569104842647,{'model__n_components': 1}
