columna,abs_spearman_media_y,abs_spearman_max_y,es_membrana
Kappa1,0.8447181777978716,0.8828273118093617,0
NumHeavyAtoms,0.8371087338433134,0.8823331050696483,0
ExactMolWt,0.782633750457391,0.827910170969702,0
MolWt,0.7820087768726394,0.8267811842270364,0
PMI1,0.7619273138761873,0.810756329624254,0
InertialShapeFactor,0.7539446714998762,0.7983389775842606,0
TPSA,0.7539407202429163,0.79645599298757,0
mem_diffusion_E9_min,0.7489902818957132,0.7914283274993597,1
LabuteASA,0.7346219927335156,0.781791793526435,0
mem_diffusion_E9_mean,0.723793794281143,0.7656450098181508,1
mem_diffusion_E9_max,0.7203787689161293,0.7618031247332024,1
PMI3,0.7116127899517115,0.749128147389494,0
mem_meanentropy_mean,0.7111795543503328,0.7379138120397668,1
mem_diffusion_E9_center,0.6908708224614077,0.7274822846409971,1
NumRings,0.6890923260217942,0.7095077224150015,0
PMI2,0.667839420672234,0.7119156572091753,0
NumAtoms,0.661578882745003,0.7084160960185257,0
mem_meanentropy_min,0.6542660789532375,0.6973170264763155,1
mem_free_energy_barrier,0.6343943340501684,0.660462733714676,1
mem_distribution_min,0.6240745434725015,0.65107145906258,1
RadiusOfGyration,0.614188548878058,0.6621242971087486,0
mem_distribution_center,0.6074476201733957,0.6368991718603262,1
mem_distribution_max,0.5839376590598282,0.632288909758388,1
NumHAcceptors,0.5711832880067812,0.6300511844698802,0
Chi1n,0.5702205756226124,0.6129064805445835,0
Chi0n,0.5573203590862793,0.6045039474726251,0
mem_free_energy_center,0.49981021686576166,0.5388030393579782,1
mem_free_energy_max,0.49461755317105754,0.5358581493093223,1
FractionCSP3,0.4753159857699313,0.4997560246579891,0
NumHDonors,0.44627711510350626,0.4946184494792952,0
mem_logPerm,0.4328863565809724,0.4804063860667634,1
SpherocityIndex,0.3850411009519945,0.47573931108099826,0
NumRotatableBonds,0.336685819121393,0.40963973691579475,0
mem_free_energy_min,0.32211189441643384,0.3782976180312473,1
mem_free_energy_mean,0.30040468014311844,0.34431827883548194,1
Kappa2,0.2986105615129743,0.35903226273455074,0
mem_logP_kg_l,0.24315008288602086,0.2988132843848715,1
mem_logP,0.24315008288602086,0.2988132843848715,1
MolLogP,0.17294015974650062,0.22659463020209203,0
mem_free_energy_argmin_depth,0.13844576671829087,0.1909487053552028,1
mem_distribution_argmax_depth,0.13844576671829087,0.1909487053552028,1
mem_distribution_mean,0.13073977563675515,0.13619110373520077,1
mem_distribution_sum,0.1131602679455829,0.12471699102614721,1
mem_free_energy_argmax_depth,0.07132897532522205,0.1295183843766941,1
mem_distribution_argmin_depth,0.07132897532522205,0.1295183843766941,1
Asphericity,0.06562459052745104,0.0956297371391711,0
Eccentricity,0.06282264463985981,0.08958232543138203,0
NPR1,0.06282264463985981,0.08958232543138203,0
NPR2,0.032303456451751186,0.0554749233994517,0
