ligando,mem_logP,mem_logPerm,n_layerposition,mem_distribution_mean,mem_distribution_min,mem_distribution_max,mem_distribution_center,mem_distribution_argmax_depth,mem_distribution_argmin_depth,mem_free_energy_mean,mem_free_energy_min,mem_free_energy_max,mem_free_energy_center,mem_free_energy_argmax_depth,mem_free_energy_argmin_depth,mem_meanentropy_mean,mem_meanentropy_min,mem_meanentropy_max,mem_meanentropy_center,mem_meanentropy_argmax_depth,mem_meanentropy_argmin_depth,mem_diffusion_E9_mean,mem_diffusion_E9_min,mem_diffusion_E9_max,mem_diffusion_E9_center,mem_diffusion_E9_argmax_depth,mem_diffusion_E9_argmin_depth,mem_distribution_sum,mem_distribution_nonzero_center,mem_free_energy_barrier
1-Butanethiol,,,30,0.03333333333333336,0.00082181975472788,0.093684199711615,0.056819065228031,10.81,33.58,-1.6789951885559613,-2.919045460321,0.0,-2.610844346709,33.58,10.81,7.84726583660364,5.30541954e-05,30.0,1.0,,,,,,,,,1.0000000000000009,1,2.919045460321
1-Dodecanethiol,,,30,0.03333333333333336,3.4883144241109e-07,0.094874235143882,0.094874235143882,0.57,33.58,-4.651673689996757,-7.7124443404214,0.0,-7.7124443404214,33.58,0.57,8.250922537017667,0.0012815373,30.0,1.0,,,,,,,,,1.0000000000000009,1,7.7124443404214
1-Hexanethiol,,,30,0.03333333333333337,6.386337050601e-05,0.089920764451426,0.075593838836187,9.68,33.58,-2.64256957486075,-4.4683630857812,0.0,-4.3613962768519,33.58,9.68,7.958929707688433,4.7851475e-05,30.0,1.0,,,,,,,,,1.000000000000001,1,4.4683630857812
11-Mercaptoundecanesulfonic_acid_MUS,,,30,0.03333333333333318,5.3752226038546e-06,0.22231937694969,6.3388485520669e-06,14.23,33.58,-3.0772096644683544,-6.5516439305859,0.0,-0.10163125635783,33.58,14.23,8.467665951566666,0.308655981,30.0,1.0,,,,,,,,,0.9999999999999953,1,6.5516439305859
11-Mercaptoundecanoic_acid_MUA,,,30,0.03333333333333321,2.6299838727229e-05,0.19270472024241,0.00046816727437198,11.95,33.58,-2.8092173891900667,-5.4849479838511,0.0,-1.7745795165561,33.58,11.95,8.225982739366666,0.15224137,30.0,1.0,,,,,,,,,0.9999999999999962,1,5.4849479838511
2-Mercaptosuccinic_acid,,,30,0.03333333333333353,7.2296615440734e-10,0.17626047624807,7.2296615440734e-10,17.64,0.57,-0.1054369996647575,-3.9900495088407,7.9124561589688,7.9124561589688,0.57,17.64,8.076690469183815,0.000666005619,30.0,1.0,,,,,,,,,1.0000000000000058,1,11.9025056678095
3-Mercapto-1-propanesulfonic_acid_MPS,,,30,0.03333333333333347,1.2698988357994e-07,0.15840048452101,1.2698988357994e-07,16.51,0.57,-0.07734035642024392,-2.8160904170435,5.8350607085926,5.8350607085926,0.57,16.51,8.127233409250666,0.00376487984,30.0,1.0,,,,,,,,,1.0000000000000042,1,8.651151125636101
3-Mercaptopropionic_acid,,,30,0.03333333333333332,1.7091129222678e-07,0.12137381899076,1.7091129222678e-07,19.92,0.57,0.7591432603939178,-1.6317606376644,6.6722181644485,6.6722181644485,0.57,19.92,8.010393463838,0.00108193014,30.0,1.0,,,,,,,,,0.9999999999999996,1,8.3039788021129
4-Aminothiophenol,,,30,0.03333333333333333,0.0037658901678424,0.099761010067852,0.0043748444793254,13.09,33.58,-1.0108109422422915,-2.0195898492747,0.0,-0.09237985279884,33.58,13.09,7.845507008809833,0.00028411974,30.0,1.0,,,,,,,,,0.9999999999999999,1,2.0195898492747
4-Mercaptobenzoic_acid,,,30,0.033333333333333326,4.5813518612748e-05,0.13425638972728,4.5813518612748e-05,14.23,0.57,-1.1165109341818096,-2.9986693959211,1.9214577956514,1.9214577956514,0.57,14.23,7.968608493314833,0.00215608033,30.0,1.0,,,,,,,,,0.9999999999999998,1,4.9201271915725
5-Fluorouracil,,,30,0.03333333333333352,6.3337169267313e-12,0.2595670818533,6.3337169267313e-12,19.92,0.57,1.364787189632895,-3.2891931325742,11.771718667446,11.771718667446,0.57,19.92,8.254764711990001,0.0022446953,30.0,1.0,,,,,,,,,1.0000000000000056,1,15.0609118000202
6-Mercaptohexanoic_acid,,,30,0.03333333333333324,0.00010517603150523,0.15257197711405,0.00010517603150523,14.23,0.57,-0.9648986812860441,-2.7971147717638,1.6896261434382,1.6896261434382,0.57,14.23,7.99902298027,0.0017321712,30.0,1.0,,,,,,,,,0.9999999999999972,1,4.486740915202001
Arginine,,,30,0.03333333333333337,3.8118425407734e-12,0.089391293392353,3.8118425407734e-12,26.75,0.57,3.640364555274178,-0.23402677412775,14.482838284526,14.482838284526,0.57,26.75,8.116426107023335,0.0155289495,30.0,1.0,,,,,,,,,1.000000000000001,1,14.71686505865375
Biotin,,,30,0.03333333333333287,9.4786956211439e-08,0.11264003541338,9.4786956211439e-08,24.47,0.57,1.5604148235519093,-0.94585387872719,7.6754337125759,7.6754337125759,0.57,24.47,8.159489899175,0.0071497962,30.0,1.0,,,,,,,,,0.9999999999999861,1,8.621287591303089
CTAB_cetyltrimethylammonium_bromide,,,30,0.0333333333333335,4.6725162426367e-12,0.40577919967876,4.6725162426367e-12,21.06,0.57,0.12651041397884838,-6.843262088006,8.6805042800599,8.6805042800599,0.57,21.06,9.333150082533333,0.790165802,30.0,1.0,,,,,,,,,1.0000000000000049,1,15.5237663680659
Citric_acid,,,30,0.03333333333333325,7.3380293419901e-13,0.19079707661399,7.3380293419901e-13,18.78,0.57,1.0394382502732418,-3.9893516498834,12.210291997362,12.210291997362,0.57,18.78,8.088149781606335,0.00113414981,30.0,1.0,,,,,,,,,0.9999999999999974,1,16.199643647245402
Curcumin,,,30,0.033333333333333486,3.8284384430632e-07,0.23559919956057,3.8284384430632e-07,21.06,0.57,-0.5586561081193829,-3.930223035931,4.2854813189663,4.2854813189663,0.57,21.06,8.715715638638333,0.0747026723,30.0,1.0,,,,,,,,,1.0000000000000047,1,8.215704354897301
Cysteamine_2-aminoethanethiol,,,30,0.033333333333333263,0.0012271341010633,0.063222788001733,0.0012271341010633,25.61,0.57,0.2517431649523298,-0.3697578858657,2.059809431312,2.059809431312,0.57,25.61,7.8039042984534,0.000234528404,30.0,1.0,,,,,,,,,0.999999999999998,1,2.4295673171776997
D-Galactose,,,30,0.03333333333333353,1.8834918340607e-12,0.13021368936883,1.8834918340607e-12,23.34,0.57,3.094113528986954,-1.1378346552349,14.245370000293,14.245370000293,0.57,23.34,7.900495317669618,0.000598179167,30.0,1.0,,,,,,,,,1.0000000000000058,1,15.383204655527901
D-Glucose,,,30,0.033333333333333263,2.6644023902747e-13,0.11677002630876,2.6644023902747e-13,22.2,0.57,3.311877783641869,-1.2086645288164,15.312757323101,15.312757323101,0.57,22.2,7.8771728155115674,0.000705506594,30.0,1.0,,,,,,,,,0.999999999999998,1,16.5214218519174
Dihydrolipoic_acid_DHLA,,,30,0.033333333333333215,3.2894438310071e-06,0.15384408452418,3.2894438310071e-06,15.37,0.57,-0.7499896490497449,-3.076232378788,3.5511624488239,3.5511624488239,0.57,15.37,8.1322191248,0.0109485442,30.0,1.0,,,,,,,,,0.9999999999999964,1,6.6273948276119
Dithiothreitol_DTT,,,30,0.03333333333333323,6.6908604117229e-09,0.14065794353507,6.6908604117229e-09,19.92,0.57,0.9410583774307181,-2.2177719220831,8.1742494545479,8.1742494545479,0.57,19.92,7.973646791629,0.00106771561,30.0,1.0,,,,,,,,,0.9999999999999969,1,10.392021376631
Doxorubicin_proxy_daunorubicin_aglycone,,,30,0.03333333333333328,1.019050125541e-09,0.091471765639021,1.019050125541e-09,15.37,0.57,0.9236643967739233,-1.7708089028628,9.5158608880988,9.5158608880988,0.57,15.37,8.399706606853334,0.0538962493,30.0,1.0,,,,,,,,,0.9999999999999983,1,11.2866697909616
Folic_acid,,,30,0.03333333333333331,3.5133804493948e-16,0.27627871470198,3.5133804493948e-16,19.92,0.57,3.866177089382536,-3.3959303170152,17.743266849833,17.743266849833,0.57,19.92,9.153438431949999,0.417980258,30.0,1.0,,,,,,,,,0.9999999999999993,1,21.1391971668482
Gemcitabine,,,30,0.033333333333333666,5.0417047431441e-11,0.17586492454623,5.0417047431441e-11,22.2,0.57,2.0765033877006354,-1.993651959734,11.548779370057,11.548779370057,0.57,22.2,8.276142376573167,0.00987403729,30.0,1.0,,,,,,,,,1.00000000000001,1,13.542431329791
Glutathione_GSH,,,30,0.033333333333333263,2.2138128013082e-11,0.12447414577972,2.2138128013082e-11,19.92,0.57,3.215515409828241,-1.0736232214739,12.76305065714,12.76305065714,0.57,19.92,8.293568142406667,0.0467856614,30.0,1.0,,,,,,,,,0.999999999999998,1,13.836673878613901
HEPES,,,30,0.033333333333333263,2.190531306323e-06,0.21385504660153,2.190531306323e-06,15.37,0.57,-1.5274115739656946,-4.5266046066292,2.5543687884219,2.5543687884219,0.57,15.37,8.297574977028333,0.0071463424,30.0,1.0,,,,,,,,,0.999999999999998,1,7.0809733950511
Histidine,,,30,0.03333333333333353,6.2277599937011e-10,0.10671896908235,6.2277599937011e-10,23.34,0.57,2.597566680640465,-0.64958839633748,11.035606009146,11.035606009146,0.57,23.34,8.0211256417305,0.00149495272,30.0,1.0,,,,,,,,,1.0000000000000058,1,11.68519440548348
L-Cysteine,,,30,0.03333333333333333,1.1486299701546e-08,0.12291630264852,1.1486299701546e-08,21.06,0.57,1.4019869786391246,-1.3948419188606,8.5810080604406,8.5810080604406,0.57,21.06,8.035247476318883,0.000420157103,30.0,1.0,,,,,,,,,1.0,1,9.9758499793012
L-Homocysteine,,,30,0.0333333333333334,1.1527139476962e-07,0.096850640238254,1.1527139476962e-07,21.06,0.57,1.0156889589124876,-1.1385943785239,7.2690206157023,7.2690206157023,0.57,21.06,8.021274239948001,0.00445463318,30.0,1.0,,,,,,,,,1.000000000000002,1,8.4076149942262
Lipoic_acid_thioctic_acid,,,30,0.03333333333333311,0.00029831804902003,0.17714435797586,0.00036340446052235,11.95,33.58,-1.908500239044369,-3.9362362061703,0.0,-0.12163680404291,33.58,11.95,8.126326052168332,0.0674738591,30.0,1.0,,,,,,,,,0.9999999999999932,1,3.9362362061703
Lysine,,,30,0.033333333333333263,2.7221122464027e-07,0.09934843605906,2.7221122464027e-07,23.34,0.57,1.5068628480296957,-0.53742502788365,7.356277115324,7.356277115324,0.57,23.34,7.995872440333501,0.00111744575,30.0,1.0,,,,,,,,,0.999999999999998,1,7.8937021432076495
Mannose,,,30,0.033333333333333395,4.4639976423625e-12,0.10811597052136,4.4639976423625e-12,22.2,0.57,3.165808765165841,-0.85018977288686,13.886551440416,13.886551440416,0.57,22.2,7.96316526555695,0.000595364177,30.0,1.0,,,,,,,,,1.0000000000000018,1,14.73674121330286
Mercaptoethanol_2-mercaptoethanol,,,30,0.0333333333333333,7.5651130239848e-05,0.07289962579944,7.5651130239848e-05,15.37,0.57,0.46051857858721806,-0.68626263148707,3.5483680673351,3.5483680673351,0.57,15.37,7.815164790164717,0.000374995743,30.0,1.0,,,,,,,,,0.999999999999999,1,4.23463069882217
Methionine,,,30,0.03333333333333375,7.0236969311363e-08,0.10292805897599,7.0236969311363e-08,21.06,0.57,0.8252957672865897,-1.4916459490499,7.2588185514385,7.2588185514385,0.57,21.06,8.108279619785332,0.00142924338,30.0,1.0,,,,,,,,,1.0000000000000124,1,8.7504645004884
Methotrexate,,,30,0.03333333333333373,1.1355167479818e-15,0.15088192967845,1.1355167479818e-15,21.06,0.57,4.585038278267597,-1.3586313172341,18.684724764342,18.684724764342,0.57,21.06,8.849949903066666,0.164441633,30.0,1.0,,,,,,,,,1.0000000000000118,1,20.0433560815761
PEG-amine_n_3_proxy,,,30,0.03333333333333336,0.00015599145437172,0.098202346488279,0.00015599145437172,26.75,0.57,0.8852795054637421,-0.32923079263098,3.6430140077586,3.6430140077586,0.57,26.75,7.973348540260834,0.00398833867,30.0,1.0,,,,,,,,,1.0000000000000009,1,3.97224480038958
PEG-dithiol_n_3,,,30,0.03333333333333315,0.0045657988144528,0.10687769862087,0.0045657988144528,11.95,0.57,-0.4884129158405464,-1.4236808893155,0.51966788561821,0.51966788561821,0.57,11.95,7.910275904374332,0.00251863305,30.0,1.0,,,,,,,,,0.9999999999999947,1,1.94334877493371
PEG-thiol_n_3,,,30,0.03333333333333335,1.1108950231215e-05,0.082205752865337,1.1108950231215e-05,26.75,0.57,0.9347891803044169,-0.44483482639491,5.0462012227604,5.0462012227604,0.57,26.75,8.109947212321666,0.0342464109,30.0,1.0,,,,,,,,,1.0000000000000004,1,5.49103604915531
PEG-thiol_n_4,,,30,0.03333333333333333,0.0001335802941022,0.09481179783142,0.0001335802941022,13.09,0.57,0.2437743320467315,-0.94686831955116,3.0993129371053,3.0993129371053,0.57,13.09,7.922254644203,0.0033272874,30.0,1.0,,,,,,,,,0.9999999999999999,1,4.04618125665646
PEG-thiol_n_6,,,30,0.033333333333333194,0.0003229939018727,0.080650169279972,0.0003229939018727,26.75,0.57,0.42286040797173746,-0.53523807142166,2.8670597407719,2.8670597407719,0.57,26.75,8.222824845549999,0.187390103,30.0,1.0,,,,,,,,,0.9999999999999958,1,3.4022978121935603
PSS_styrene_sulfonate_monomer,,,30,0.03333333333333318,8.8476669697373e-13,0.18051399339251,8.8476669697373e-13,21.06,0.57,3.3528798762274805,-1.6952099872852,14.354982209419,14.354982209419,0.57,21.06,8.235121885357833,0.00220869287,30.0,1.0,,,,,,,,,0.9999999999999953,1,16.0501921967042
PVP_monomer_N-vinyl-2-pyrrolidone,,,30,0.033333333333333444,0.0063438492760952,0.07888142135957,0.0063438492760952,13.09,0.57,-0.056669529722002634,-0.72023648364568,0.83320164617635,0.83320164617635,0.57,13.09,7.8764819614969985,0.000133930477,30.0,1.0,,,,,,,,,1.0000000000000033,1,1.55343812982203
Polyethyleneimine_fragment_ethylenediamine,,,30,0.03333333333333342,5.4452642380495e-06,0.10538155978496,5.4452642380495e-06,33.58,0.57,1.8489285904375425,0.0,6.0835566501921,6.0835566501921,0.57,33.58,7.808334342169511,5.56917876e-05,30.0,1.0,,,,,,,,,1.0000000000000027,1,6.0835566501921
