ligando,n_layerposition,mem_distribution_mean,mem_distribution_min,mem_distribution_max,mem_distribution_center,mem_distribution_argmax_depth,mem_distribution_argmin_depth,mem_free_energy_mean,mem_free_energy_min,mem_free_energy_max,mem_free_energy_center,mem_free_energy_argmax_depth,mem_free_energy_argmin_depth,mem_meanentropy_mean,mem_meanentropy_min,mem_meanentropy_max,mem_meanentropy_center,mem_meanentropy_argmax_depth,mem_meanentropy_argmin_depth,mem_distribution_sum,mem_distribution_nonzero_center,mem_free_energy_barrier,mem_logP,mem_logP_kg_l,mem_logPerm,mem_diffusion_E9_mean,mem_diffusion_E9_min,mem_diffusion_E9_max,mem_diffusion_E9_center,mem_diffusion_E9_argmax_depth,mem_diffusion_E9_argmin_depth
1-Butanethiol,30,0.0333333333333333,0.0008218197547278,0.093684199711615,0.056819065228031,10.81,33.58,-1.6789951885559613,-2.919045460321,0.0,-2.610844346709,33.58,10.81,7.84726583660364,5.30541954e-05,30.0,1.0,,,1.0000000000000009,1,2.919045460321,1.95159551,1.84699003,-0.64454488,0.3431049821203533,0.00011869613418269,1.312787859363,0.21087186632638,33.58,16.51
1-Dodecanethiol,30,0.0333333333333333,3.4883144241109e-07,0.094874235143882,0.094874235143882,0.57,33.58,-4.651673689996757,-7.7124443404214,0.0,-7.7124443404214,33.58,0.57,8.250922537017667,0.0012815373,30.0,1.0,,,1.0000000000000009,1,7.7124443404214,5.32858249,5.22397701,1.15922845,0.18152816560262483,6.3803254279407e-05,0.69033227599378,0.11493478539179,33.58,16.51
1-Hexanethiol,30,0.0333333333333333,6.386337050601e-05,0.089920764451426,0.075593838836187,9.68,33.58,-2.64256957486075,-4.4683630857812,0.0,-4.3613962768519,33.58,9.68,7.958929707688433,4.7851475e-05,30.0,1.0,,,1.000000000000001,1,4.4683630857812,3.06557504,2.96096956,-0.02658546,0.28540212142755084,9.9178697219645e-05,1.0901510367579,0.17686918841061,33.58,16.51
11-Mercaptoundecanesulfonic_acid_MUS,30,0.0333333333333331,5.3752226038546e-06,0.22231937694969,6.3388485520669e-06,14.23,33.58,-3.0772096644683544,-6.5516439305859,0.0,-0.10163125635783,33.58,14.23,8.467665951566666,0.308655981,30.0,1.0,,,0.9999999999999952,1,6.5516439305859,4.14077229,4.03616681,1.02477344,0.1399154328316929,4.8121690163906e-05,0.5321055744696,0.093253468433392,33.58,16.51
11-Mercaptoundecanoic_acid_MUA,30,0.0333333333333332,2.6299838727229e-05,0.19270472024241,0.0004681672743719,11.95,33.58,-2.8092173891900667,-5.4849479838511,0.0,-1.7745795165561,33.58,11.95,8.225982739366666,0.15224137,30.0,1.0,,,0.9999999999999962,1,5.4849479838511,3.45109338,3.3464879,0.47721226,0.17208740958587318,5.9746060894642e-05,0.65396109344598,0.11263589723903,33.58,16.51
2-Mercaptosuccinic_acid,30,0.0333333333333335,7.229661544073401e-10,0.17626047624807,7.229661544073401e-10,17.64,0.57,-0.1054369996647575,-3.9900495088407,7.9124561589688,7.9124561589688,0.57,17.64,8.076690469183815,0.000666005619,30.0,1.0,,,1.0000000000000058,1,11.9025056678095,2.43502176,2.33041628,-3.89428159,0.28970125667684765,9.4478765660135e-05,1.1122628388172,0.19042498138364,33.58,16.51
3-Mercapto-1-propanesulfonic_acid_MPS,30,0.0333333333333334,1.2698988357994e-07,0.15840048452101,1.2698988357994e-07,16.51,0.57,-0.0773403564202439,-2.8160904170435,5.8350607085926,5.8350607085926,0.57,16.51,8.127233409250666,0.00376487984,30.0,1.0,,,1.0000000000000042,1,8.651151125636101,1.64608857,1.54148309,-2.42173868,0.2860209802651761,9.5843280383905e-05,1.09662657447,0.18419607790462,33.58,16.51
3-Mercaptopropionic_acid,30,0.0333333333333333,1.7091129222678e-07,0.12137381899076,1.7091129222678e-07,19.92,0.57,0.7591432603939178,-1.6317606376644,6.6722181644485,6.6722181644485,0.57,19.92,8.010393463838,0.00108193014,30.0,1.0,,,0.9999999999999996,1,8.3039788021129,0.88363682,0.77903134,-3.01892204,0.33572188991478813,0.00011351984859194,1.2866914895933,0.21408186365887,33.58,16.51
4-Aminothiophenol,30,0.0333333333333333,0.0037658901678424,0.099761010067852,0.0043748444793254,13.09,33.58,-1.0108109422422915,-2.0195898492747,0.0,-0.09237985279884,33.58,13.09,7.845507008809833,0.00028411974,30.0,1.0,,,1.0,1,2.0195898492747,1.27275416,1.16814868,-0.6923902,0.3152756682123647,0.0001081182388223,1.2072623767417,0.19364704617167,33.58,16.51
4-Mercaptobenzoic_acid,30,0.0333333333333333,4.5813518612748e-05,0.13425638972728,4.5813518612748e-05,14.23,0.57,-1.1165109341818096,-2.9986693959211,1.9214577956514,1.9214577956514,0.57,14.23,7.968608493314833,0.00215608033,30.0,1.0,,,0.9999999999999998,1,4.9201271915725,1.85017229,1.74556681,-0.25998153,0.28219265915196756,9.5314605677429e-05,1.079726805455,0.17921073142077,33.58,16.51
5-Fluorouracil,30,0.0333333333333335,6.3337169267312996e-12,0.2595670818533,6.3337169267312996e-12,19.92,0.57,1.364787189632895,-3.2891931325742,11.771718667446,11.771718667446,0.57,19.92,8.254764711990001,0.0022446953,30.0,1.0,,,1.0000000000000056,1,15.0609118000202,1.76735398,1.6627485,-6.4248827,0.3062959007544959,0.00010280053215697,1.1749482736667,0.20231441618115,33.58,16.51
