columna,missing,missing_pct,n_unique,constante,es_membrana
MolWt,0,0.0,49,0,0
ExactMolWt,0,0.0,49,0,0
MolLogP,0,0.0,51,0,0
TPSA,0,0.0,38,0,0
NumHDonors,0,0.0,9,0,0
NumHAcceptors,0,0.0,12,0,0
NumRotatableBonds,0,0.0,16,0,0
NumHeavyAtoms,0,0.0,21,0,0
NumAtoms,0,0.0,32,0,0
FractionCSP3,0,0.0,18,0,0
NumRings,0,0.0,5,0,0
FormalCharge,0,0.0,1,1,0
Chi0n,0,0.0,48,0,0
Chi1n,0,0.0,50,0,0
Kappa1,0,0.0,49,0,0
Kappa2,0,0.0,47,0,0
LabuteASA,0,0.0,51,0,0
Asphericity,0,0.0,53,0,0
Eccentricity,0,0.0,53,0,0
InertialShapeFactor,0,0.0,53,0,0
NPR1,0,0.0,53,0,0
NPR2,0,0.0,53,0,0
PMI1,0,0.0,53,0,0
PMI2,0,0.0,53,0,0
PMI3,0,0.0,53,0,0
RadiusOfGyration,0,0.0,53,0,0
SpherocityIndex,0,0.0,53,0,0
n_layerposition,1,0.018867924528301886,1,1,1
mem_distribution_mean,1,0.018867924528301886,10,0,1
mem_distribution_min,1,0.018867924528301886,52,0,1
mem_distribution_max,1,0.018867924528301886,52,0,1
mem_distribution_center,1,0.018867924528301886,52,0,1
mem_distribution_argmax_depth,1,0.018867924528301886,19,0,1
mem_distribution_argmin_depth,1,0.018867924528301886,2,0,1
mem_free_energy_mean,1,0.018867924528301886,52,0,1
mem_free_energy_min,1,0.018867924528301886,52,0,1
mem_free_energy_max,1,0.018867924528301886,46,0,1
mem_free_energy_center,1,0.018867924528301886,52,0,1
mem_free_energy_argmax_depth,1,0.018867924528301886,2,0,1
mem_free_energy_argmin_depth,1,0.018867924528301886,19,0,1
mem_meanentropy_mean,1,0.018867924528301886,52,0,1
mem_meanentropy_min,1,0.018867924528301886,52,0,1
mem_meanentropy_max,1,0.018867924528301886,1,1,1
mem_meanentropy_center,1,0.018867924528301886,1,1,1
mem_meanentropy_argmax_depth,53,1.0,0,1,1
mem_meanentropy_argmin_depth,53,1.0,0,1,1
mem_distribution_sum,1,0.018867924528301886,36,0,1
mem_distribution_nonzero_center,1,0.018867924528301886,1,1,1
mem_free_energy_barrier,1,0.018867924528301886,52,0,1
mem_logP,1,0.018867924528301886,52,0,1
mem_logP_kg_l,1,0.018867924528301886,52,0,1
mem_logPerm,1,0.018867924528301886,52,0,1
mem_diffusion_E9_mean,1,0.018867924528301886,52,0,1
mem_diffusion_E9_min,1,0.018867924528301886,52,0,1
mem_diffusion_E9_max,1,0.018867924528301886,52,0,1
mem_diffusion_E9_center,1,0.018867924528301886,52,0,1
mem_diffusion_E9_argmax_depth,1,0.018867924528301886,1,1,1
mem_diffusion_E9_argmin_depth,1,0.018867924528301886,1,1,1
