mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.20721769332885742,0.014291628350183628,0.04718494415283203,0.0010865841510520034,,sqrt,1,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.5622044337977007,-0.7300661339278347,-0.3710549180606738,-0.3859900549425895,-0.9813426426583373,-0.6061316366774272,0.22882134402851975,39
0.38851490020751955,0.01297494233927967,0.07235331535339355,0.012825765004188616,,sqrt,1,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.5616150622619465,-0.7350685802665877,-0.3531960840034649,-0.3761602201171873,-0.9458970198461414,-0.5943873932990655,0.22370542523512557,37
0.20317373275756836,0.01029375119704946,0.04699063301086426,0.00045603717125546327,,sqrt,2,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.6299471270465651,-0.7180197658770856,-0.4143638436607178,-0.3800997079696198,-1.0365402052837664,-0.6357941299675509,0.23740415693918143,45
0.372511100769043,0.0022237313290912886,0.06205906867980957,0.00039842027670676305,,sqrt,2,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",-0.6160296577034268,-0.724213428297835,-0.39712518044192835,-0.3739611384985186,-1.006606482583963,-0.6235871775051344,0.2325875069651014,43
0.19870734214782715,0.001112900059520775,0.04673371315002441,0.0010940066783888536,,sqrt,4,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",-0.7669521955748076,-1.0157563822038023,-0.5576434254506999,-0.49056576738339136,-1.0667377886106881,-0.7795311118446777,0.23288769754654007,52
0.38593144416809083,0.015237911872717797,0.07263131141662597,0.007635850571504487,,sqrt,4,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 600}",-0.7460276553598779,-1.0057821680683328,-0.5440402114545032,-0.47725419253412227,-1.06564053979697,-0.7677489534427612,0.23677154838930803,49
0.21021313667297364,0.01330661782344883,0.046973228454589844,0.0011217965019573322,,0.5,1,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.48432676655237333,-0.7204725557574384,-0.28895497484349586,-0.32964134168925824,-0.8211418770015466,-0.5289075031688225,0.21041376364699396,19
0.3968069076538086,0.0088118326712835,0.07801518440246583,0.0018429746393396076,,0.5,1,600,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.4674879195858641,-0.7130397963157085,-0.2848160585386248,-0.33570754046374773,-0.8268714770611805,-0.5255845583930251,0.2113344484393137,14
0.20992584228515626,0.015855535862734704,0.0468256950378418,0.0005784755914986388,,0.5,2,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.4790896700765951,-0.6951680366710925,-0.28667082788225023,-0.3387935090050342,-0.8501643370577173,-0.5299772761385378,0.21361018251691513,20
0.378926420211792,0.009383638474337501,0.06302728652954101,0.0009133786154380124,,0.5,2,600,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",-0.48858942528897426,-0.7055192690736823,-0.2872403391381388,-0.3381499639054609,-0.8771886682659079,-0.5393375331344329,0.22287420781793954,28
0.19808173179626465,0.008109913365779492,0.04447216987609863,0.006482264532444969,,0.5,4,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",-0.483767310161311,-0.8268724014396409,-0.3773673649542656,-0.32559163400131336,-0.8936546888070809,-0.5814506798727224,0.234247329168153,31
0.3950483798980713,0.02064959442589681,0.0664477825164795,0.005720743212631497,,0.5,4,600,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 4, 'model__n_estimators': 600}",-0.4856978260294661,-0.8269478946748741,-0.3629029681615457,-0.32130872196336796,-0.9223296677984835,-0.5838374157255475,0.24537499217441908,34
0.20148677825927735,0.005585229616335038,0.0440518856048584,0.005596908590570069,,1.0,1,300,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.4490989089905303,-0.7168618012836143,-0.28367441669972754,-0.3377178082245797,-0.7963284181869623,-0.5167362706770828,0.20452982536728959,9
0.37869830131530763,0.008528929384647922,0.06342830657958984,0.0009951720878918799,,1.0,1,600,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.4554623762093722,-0.7203965064107917,-0.27978663898297185,-0.3469884161576137,-0.7835277428798593,-0.5172323361281218,0.20068278604392253,11
0.18902759552001952,0.001072274187576098,0.05045585632324219,0.006886057916566065,,1.0,2,300,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.44923313421386085,-0.69545119656853,-0.2834852776994732,-0.34771724620863503,-0.788122428292864,-0.5128018565966727,0.19649030663151884,4
