ligando,nanoparticula,proteina,ICNB_0_100,ICNB_global_0_100,ICNB_bruto,ranking_ICNB_por_proteina,ranking_ICNB_global,y_ligando_proteina,E_nano_proteina,score_ligando_proteina,score_nano_proteina,score_contextual,score_contextual_medio
Folic_acid,ZnO_12_0,1ao6,100.0,99.83311939828582,2.18096976357945,1,2,-9.21,-7.76,2.9479031755003704,1.4140363516585297,4.3619395271589,2.18096976357945
Doxorubicin_proxy_daunorubicin_aglycone,ZnO_12_0,1ao6,91.36195820126272,91.22133765776682,1.8967981902372753,2,4,-8.36,-7.76,2.379560028816021,1.4140363516585297,3.7935963804745514,1.8967981902372757
Curcumin,ZnO_12_0,1ao6,85.08159369347493,84.96006575701307,1.6901887404426126,3,8,-7.742,-7.76,1.9663411292266952,1.4140363516585297,3.3803774808852247,1.6901887404426124
Methotrexate,ZnO_12_0,1ao6,83.79096862472242,83.67336424990023,1.6477301641903113,4,11,-7.615,-7.76,1.8814239767220928,1.4140363516585297,3.295460328380622,1.647730164190311
Tannic_acid_approx,ZnO_12_0,1ao6,82.93732684696485,82.82231758377834,1.6196473263541433,5,14,-7.531,-7.76,1.8252583010497567,1.4140363516585297,3.239294652708286,1.619647326354143
TAT_peptide_fragment_YGRKKK_6_aa,ZnO_12_0,1ao6,81.60605216974771,81.49509004494543,1.5758514721096435,6,17,-7.4,-7.76,1.7376665925607575,1.4140363516585297,3.151702944219287,1.5758514721096435
Gemcitabine,ZnO_12_0,1ao6,74.89886677308112,74.8082948111307,1.3552006033968966,7,20,-6.74,-7.76,1.2963648551352636,1.4140363516585297,2.710401206793793,1.3552006033968964
Biotin,ZnO_12_0,1ao6,73.51678008528316,73.43040973264768,1.3097331516621487,8,22,-6.604,-7.76,1.2054299516657676,1.4140363516585297,2.6194663033242973,1.3097331516621489
RGD_peptide_Arg-Gly-Asp,ZnO_12_0,1ao6,72.99849757735892,72.91370282821653,1.2926828572616182,9,24,-6.553,-7.76,1.1713293628647066,1.4140363516585297,2.585365714523236,1.292682857261618
Folic_acid,Au_13,1ao6,68.0575320758411,67.98775809700146,1.130136533324985,10,30,-9.21,-2.34,2.9479031755003704,-0.6876301088504001,2.26027306664997,1.130136533324985
Folic_acid,ZnO_12_0,1hzh,100.0,97.7766246422602,2.1131095497470325,1,3,-8.75,-7.38,2.812007457557419,1.4142116419366455,4.226219099494065,2.1131095497470325
Doxorubicin_proxy_daunorubicin_aglycone,ZnO_12_0,1hzh,91.27100934660253,89.24171221602978,1.8314745100330079,2,6,-7.94,-7.38,2.2487373781293702,1.4142116419366455,3.662949020066016,1.831474510033008
Tannic_acid_approx,ZnO_12_0,1hzh,86.78797217152433,84.85834978478059,1.686832316797163,3,9,-7.524,-7.38,1.9594529916576808,1.4142116419366455,3.373664633594326,1.686832316797163
Methotrexate,ZnO_12_0,1hzh,85.52711796603359,83.62552910099176,1.6461516999495818,4,12,-7.407,-7.38,1.878091757962518,1.4142116419366455,3.292303399899164,1.646151699949582
Curcumin,ZnO_12_0,1hzh,84.39558214059316,82.51915156425818,1.6096434540607267,5,15,-7.302,-7.38,1.805075266184808,1.4142116419366455,3.219286908121453,1.6096434540607267
Gemcitabine,ZnO_12_0,1hzh,80.97942160093021,79.17894509621492,1.499423321234374,6,18,-6.985,-7.38,1.5846350005321026,1.4142116419366455,2.9988466424687483,1.4994233212343742
Biotin,ZnO_12_0,1hzh,74.69670363681823,73.03591553511329,1.2967156321562552,7,23,-6.402,-7.38,1.1792196223758649,1.4142116419366455,2.5934312643125104,1.2967156321562552
RGD_peptide_Arg-Gly-Asp,ZnO_12_0,1hzh,73.6513800647447,72.01383342974988,1.2629889669065508,8,25,-6.305,-7.38,1.111766291876456,1.4142116419366455,2.5259779338131017,1.2629889669065508
TAT_peptide_fragment_YGRKKK_6_aa,ZnO_12_0,1hzh,71.7978166173566,70.20148165529109,1.2031849831648076,9,26,-6.133,-7.38,0.9921583243929696,1.4142116419366455,2.406369966329615,1.2031849831648076
