ligando,proteina,energia_docking,target_col,receptor_encontrado,pose_encontrada,complex_pdb,n_atomos_receptor,n_atomos_ligando,estado,mensaje
Folic_acid,1ao6,-9.21,y_1ao6,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\Proteinas_clean\1ao6.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\resultados_final\1ao6_Folic_acid_out.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\resultados\plip\complejos_pdb\1ao6_Folic_acid.pdb,11222,510,complex_ok_sin_plip,PLIP no está instalado o no está en PATH.
Doxorubicin_proxy_daunorubicin_aglycone,1ao6,-8.36,y_1ao6,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\Proteinas_clean\1ao6.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\resultados_final\1ao6_Doxorubicin_proxy_daunorubicin_aglycone_out.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\resultados\plip\complejos_pdb\1ao6_Doxorubicin_proxy_daunorubicin_aglycone.pdb,11222,300,complex_ok_sin_plip,PLIP no está instalado o no está en PATH.
Curcumin,1ao6,-7.742,y_1ao6,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\Proteinas_clean\1ao6.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\resultados_final\1ao6_Curcumin_out.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\resultados\plip\complejos_pdb\1ao6_Curcumin.pdb,11222,290,complex_ok_sin_plip,PLIP no está instalado o no está en PATH.
Folic_acid,1hzh,-8.75,y_1hzh,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\Proteinas_clean\1hzh.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\resultados_final\1hzh_Folic_acid_out.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\resultados\plip\complejos_pdb\1hzh_Folic_acid.pdb,12742,510,complex_ok_sin_plip,PLIP no está instalado o no está en PATH.
Doxorubicin_proxy_daunorubicin_aglycone,1hzh,-7.94,y_1hzh,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\Proteinas_clean\1hzh.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\resultados_final\1hzh_Doxorubicin_proxy_daunorubicin_aglycone_out.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\resultados\plip\complejos_pdb\1hzh_Doxorubicin_proxy_daunorubicin_aglycone.pdb,12742,300,complex_ok_sin_plip,PLIP no está instalado o no está en PATH.
Tannic_acid_approx,1hzh,-7.524,y_1hzh,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\Proteinas_clean\1hzh.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\resultados_final\1hzh_Tannic_acid_approx_out.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\resultados\plip\complejos_pdb\1hzh_Tannic_acid_approx.pdb,12742,230,complex_ok_sin_plip,PLIP no está instalado o no está en PATH.
Folic_acid,2hav,-10.09,y_2hav,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\Proteinas_clean\2hav.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\resultados_final\2hav_Folic_acid_out.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\resultados\plip\complejos_pdb\2hav_Folic_acid.pdb,12842,510,complex_ok_sin_plip,PLIP no está instalado o no está en PATH.
Curcumin,2hav,-8.929,y_2hav,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\Proteinas_clean\2hav.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\resultados_final\2hav_Curcumin_out.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\resultados\plip\complejos_pdb\2hav_Curcumin.pdb,12842,290,complex_ok_sin_plip,PLIP no está instalado o no está en PATH.
Doxorubicin_proxy_daunorubicin_aglycone,2hav,-8.502,y_2hav,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\Proteinas_clean\2hav.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\resultados_final\2hav_Doxorubicin_proxy_daunorubicin_aglycone_out.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\resultados\plip\complejos_pdb\2hav_Doxorubicin_proxy_daunorubicin_aglycone.pdb,12842,300,complex_ok_sin_plip,PLIP no está instalado o no está en PATH.
Doxorubicin_proxy_daunorubicin_aglycone,3ghg,-7.965,y_3ghg,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\Proteinas_clean\3ghg.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\resultados_final\3ghg_Doxorubicin_proxy_daunorubicin_aglycone_out.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\resultados\plip\complejos_pdb\3ghg_Doxorubicin_proxy_daunorubicin_aglycone.pdb,39418,300,complex_ok_sin_plip,PLIP no está instalado o no está en PATH.
Folic_acid,3ghg,-7.912,y_3ghg,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\Proteinas_clean\3ghg.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\resultados_final\3ghg_Folic_acid_out.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\resultados\plip\complejos_pdb\3ghg_Folic_acid.pdb,39418,510,complex_ok_sin_plip,PLIP no está instalado o no está en PATH.
Curcumin,3ghg,-7.493,y_3ghg,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\Proteinas_clean\3ghg.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\Docking\resultados_final\3ghg_Curcumin_out.pdbqt,C:\Users\Pablo\Desktop\uni\TFM_Docking\resultados\plip\complejos_pdb\3ghg_Curcumin.pdb,39418,290,complex_ok_sin_plip,PLIP no está instalado o no está en PATH.
