"feature_set","modelo","n_ligandos","n_features","CV_RMSE","TEST_MAE","TEST_RMSE","TEST_R2","best_params"
"RDKit_solo","ExtraTrees",52,26,0.5103,0.3188,0.4117,0.884,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
"RDKit_membrana_seleccionada","ExtraTrees",52,49,0.5116,0.3389,0.4117,0.8862,"{'model__max_depth': 5, 'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
"RDKit_membrana_filtrada_auto","ExtraTrees",52,49,0.5116,0.3389,0.4117,0.8862,"{'model__max_depth': 5, 'model__max_features': 1.0, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
"RDKit_solo","PLSRegression",52,26,0.4001,0.317,0.4264,0.8863,"{'model__n_components': 8}"
"RDKit_solo","PCA_Ridge",52,26,0.3908,0.3473,0.4666,0.8648,"{'model__alpha': 0.1, 'pca__n_components': 15}"
"RDKit_membrana_seleccionada","PLSRegression",52,49,0.3432,0.3591,0.4704,0.8518,"{'model__n_components': 8}"
"RDKit_membrana_filtrada_auto","PLSRegression",52,49,0.3432,0.3591,0.4704,0.8518,"{'model__n_components': 8}"
"RDKit_membrana_seleccionada","Ridge",52,49,0.3371,0.3738,0.4859,0.8435,"{'model__alpha': 1.0}"
"RDKit_membrana_filtrada_auto","Ridge",52,49,0.3371,0.3738,0.4859,0.8435,"{'model__alpha': 1.0}"
"RDKit_membrana_filtrada_auto","PCA_Ridge",52,49,0.3322,0.3904,0.4929,0.8385,"{'model__alpha': 0.01, 'pca__n_components': 15}"
"RDKit_membrana_seleccionada","PCA_Ridge",52,49,0.3322,0.3904,0.4929,0.8385,"{'model__alpha': 0.01, 'pca__n_components': 15}"
"RDKit_solo","Ridge",52,26,0.42,0.3483,0.5392,0.8162,"{'model__alpha': 1.0}"
"RDKit_solo","RandomForest",52,26,0.6378,0.4763,0.595,0.7639,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 600}"
"RDKit_membrana_filtrada_auto","RandomForest",52,49,0.6534,0.5194,0.6261,0.7406,"{'model__max_depth': 5, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
"RDKit_membrana_seleccionada","RandomForest",52,49,0.6534,0.5194,0.6261,0.7406,"{'model__max_depth': 5, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
"Membrana_solo","RandomForest",52,23,0.7946,0.621,0.7307,0.6499,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
"Membrana_solo","ExtraTrees",52,23,0.7666,0.6201,0.7442,0.6411,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
"Membrana_solo","Ridge",52,23,0.8245,0.6933,0.8604,0.5206,"{'model__alpha': 10.0}"
"Membrana_solo","PCA_Ridge",52,23,0.7683,0.9002,1.175,0.1013,"{'model__alpha': 10.0, 'pca__n_components': 5}"
"Membrana_solo","PLSRegression",52,23,0.7595,0.957,1.3511,-0.188,"{'model__n_components': 1}"
