"columna","n_missing","pct_missing"
"mem_meanentropy_argmax_depth",53,100
"mem_meanentropy_argmin_depth",53,100
"n_layerposition",1,1.89
"mem_distribution_mean",1,1.89
"mem_distribution_min",1,1.89
"mem_distribution_max",1,1.89
"mem_distribution_center",1,1.89
"mem_distribution_argmax_depth",1,1.89
"mem_distribution_argmin_depth",1,1.89
"mem_free_energy_mean",1,1.89
"mem_free_energy_min",1,1.89
"mem_free_energy_max",1,1.89
"mem_free_energy_center",1,1.89
"mem_free_energy_argmax_depth",1,1.89
"mem_free_energy_argmin_depth",1,1.89
"mem_meanentropy_mean",1,1.89
"mem_meanentropy_min",1,1.89
"mem_meanentropy_max",1,1.89
"mem_meanentropy_center",1,1.89
"mem_distribution_sum",1,1.89
"mem_distribution_nonzero_center",1,1.89
"mem_free_energy_barrier",1,1.89
"mem_logP",1,1.89
"mem_logP_kg_l",1,1.89
"mem_logPerm",1,1.89
"mem_diffusion_E9_mean",1,1.89
"mem_diffusion_E9_min",1,1.89
"mem_diffusion_E9_max",1,1.89
"mem_diffusion_E9_center",1,1.89
"mem_diffusion_E9_argmax_depth",1,1.89
"mem_diffusion_E9_argmin_depth",1,1.89
"ligando",0,0
"MolWt",0,0
"ExactMolWt",0,0
"MolLogP",0,0
"TPSA",0,0
"NumHDonors",0,0
"NumHAcceptors",0,0
"NumRotatableBonds",0,0
"NumHeavyAtoms",0,0
"NumAtoms",0,0
"FractionCSP3",0,0
"NumRings",0,0
"FormalCharge",0,0
"Chi0n",0,0
"Chi1n",0,0
"Kappa1",0,0
"Kappa2",0,0
"LabuteASA",0,0
"Asphericity",0,0
"Eccentricity",0,0
"InertialShapeFactor",0,0
"NPR1",0,0
"NPR2",0,0
"PMI1",0,0
"PMI2",0,0
"PMI3",0,0
"RadiusOfGyration",0,0
"SpherocityIndex",0,0
"y_1ao6",0,0
"y_1hzh",0,0
"y_2hav",0,0
"y_3ghg",0,0
