"ligando","nanoparticula","proteina","y_ligando_proteina","E_nano_proteina","score_ligando_proteina","score_nano_proteina","score_contextual","score_contextual_medio"
"Folic_acid","ZnO_12_0","2hav",-10.09,-8.44,2.9591,1.4138,4.373,2.1865
"Curcumin","ZnO_12_0","2hav",-8.929,-8.44,2.2636,1.4138,3.6775,1.8387
"Doxorubicin_proxy_daunorubicin_aglycone","ZnO_12_0","2hav",-8.502,-8.44,2.0079,1.4138,3.4217,1.7108
"Tannic_acid_approx","ZnO_12_0","2hav",-8.327,-8.44,1.903,1.4138,3.3168,1.6584
"Methotrexate","ZnO_12_0","2hav",-8.247,-8.44,1.8551,1.4138,3.2689,1.6345
"TAT_peptide_fragment_YGRKKK_6_aa","ZnO_12_0","2hav",-8.079,-8.44,1.7545,1.4138,3.1683,1.5841
"Gemcitabine","ZnO_12_0","2hav",-7.323,-8.44,1.3016,1.4138,2.7154,1.3577
"RGD_peptide_Arg-Gly-Asp","ZnO_12_0","2hav",-7.214,-8.44,1.2363,1.4138,2.6501,1.325
"Glutathione_GSH","ZnO_12_0","2hav",-6.666,-8.44,0.908,1.4138,2.3218,1.1609
"Folic_acid","Au_13","2hav",-10.09,-2.34,2.9591,-0.6778,2.2814,1.1407
"Folic_acid","ZnO_12_0","1ao6",-9.21,-7.76,2.9479,1.414,4.3619,2.181
"Doxorubicin_proxy_daunorubicin_aglycone","ZnO_12_0","1ao6",-8.36,-7.76,2.3796,1.414,3.7936,1.8968
"Curcumin","ZnO_12_0","1ao6",-7.742,-7.76,1.9663,1.414,3.3804,1.6902
"Methotrexate","ZnO_12_0","1ao6",-7.615,-7.76,1.8814,1.414,3.2955,1.6477
"Tannic_acid_approx","ZnO_12_0","1ao6",-7.531,-7.76,1.8253,1.414,3.2393,1.6196
"TAT_peptide_fragment_YGRKKK_6_aa","ZnO_12_0","1ao6",-7.4,-7.76,1.7377,1.414,3.1517,1.5759
"Gemcitabine","ZnO_12_0","1ao6",-6.74,-7.76,1.2964,1.414,2.7104,1.3552
"Biotin","ZnO_12_0","1ao6",-6.604,-7.76,1.2054,1.414,2.6195,1.3097
"RGD_peptide_Arg-Gly-Asp","ZnO_12_0","1ao6",-6.553,-7.76,1.1713,1.414,2.5854,1.2927
"Folic_acid","Au_13","1ao6",-9.21,-2.34,2.9479,-0.6876,2.2603,1.1301
"Folic_acid","ZnO_12_0","1hzh",-8.75,-7.38,2.812,1.4142,4.2262,2.1131
"Doxorubicin_proxy_daunorubicin_aglycone","ZnO_12_0","1hzh",-7.94,-7.38,2.2487,1.4142,3.6629,1.8315
"Tannic_acid_approx","ZnO_12_0","1hzh",-7.524,-7.38,1.9595,1.4142,3.3737,1.6868
"Methotrexate","ZnO_12_0","1hzh",-7.407,-7.38,1.8781,1.4142,3.2923,1.6462
"Curcumin","ZnO_12_0","1hzh",-7.302,-7.38,1.8051,1.4142,3.2193,1.6096
"Gemcitabine","ZnO_12_0","1hzh",-6.985,-7.38,1.5846,1.4142,2.9988,1.4994
"Biotin","ZnO_12_0","1hzh",-6.402,-7.38,1.1792,1.4142,2.5934,1.2967
"RGD_peptide_Arg-Gly-Asp","ZnO_12_0","1hzh",-6.305,-7.38,1.1118,1.4142,2.526,1.263
"TAT_peptide_fragment_YGRKKK_6_aa","ZnO_12_0","1hzh",-6.133,-7.38,0.9922,1.4142,2.4064,1.2032
"HEPES","ZnO_12_0","1hzh",-5.747,-7.38,0.7237,1.4142,2.1379,1.069
