"ligando","nanoparticula","proteina","y_ligando_proteina","E_nano_proteina","score_ligando_proteina","score_nano_proteina","score_contextual","score_contextual_medio"
"Folic_acid","ZnO_12_0","2hav",-10.09,-8.44,2.9591,1.4138,4.373,2.1865
"Folic_acid","ZnO_12_0","1ao6",-9.21,-7.76,2.9479,1.414,4.3619,2.181
"Folic_acid","ZnO_12_0","1hzh",-8.75,-7.38,2.812,1.4142,4.2262,2.1131
"Doxorubicin_proxy_daunorubicin_aglycone","ZnO_12_0","1ao6",-8.36,-7.76,2.3796,1.414,3.7936,1.8968
"Curcumin","ZnO_12_0","2hav",-8.929,-8.44,2.2636,1.4138,3.6775,1.8387
"Doxorubicin_proxy_daunorubicin_aglycone","ZnO_12_0","1hzh",-7.94,-7.38,2.2487,1.4142,3.6629,1.8315
"Doxorubicin_proxy_daunorubicin_aglycone","ZnO_12_0","2hav",-8.502,-8.44,2.0079,1.4138,3.4217,1.7108
"Curcumin","ZnO_12_0","1ao6",-7.742,-7.76,1.9663,1.414,3.3804,1.6902
"Tannic_acid_approx","ZnO_12_0","1hzh",-7.524,-7.38,1.9595,1.4142,3.3737,1.6868
"Tannic_acid_approx","ZnO_12_0","2hav",-8.327,-8.44,1.903,1.4138,3.3168,1.6584
"Folic_acid","Au_13","2hav",-10.09,-2.34,2.9591,-0.6778,2.2814,1.1407
"Folic_acid","Au_13","1ao6",-9.21,-2.34,2.9479,-0.6876,2.2603,1.1301
"Folic_acid","Au_13","1hzh",-8.75,-2.12,2.812,-0.7091,2.1029,1.0514
"Doxorubicin_proxy_daunorubicin_aglycone","Au_13","1ao6",-8.36,-2.34,2.3796,-0.6876,1.6919,0.846
"Curcumin","Au_13","2hav",-8.929,-2.34,2.2636,-0.6778,1.5859,0.7929
"Doxorubicin_proxy_daunorubicin_aglycone","Au_13","1hzh",-7.94,-2.12,2.2487,-0.7091,1.5396,0.7698
"Doxorubicin_proxy_daunorubicin_aglycone","Au_13","2hav",-8.502,-2.34,2.0079,-0.6778,1.3301,0.665
"Curcumin","Au_13","1ao6",-7.742,-2.34,1.9663,-0.6876,1.2787,0.6394
"Tannic_acid_approx","Au_13","1hzh",-7.524,-2.12,1.9595,-0.7091,1.2503,0.6252
"Tannic_acid_approx","Au_13","2hav",-8.327,-2.34,1.903,-0.6778,1.2253,0.6126
"Folic_acid","Ag_13","2hav",-10.09,-2.17,2.9591,-0.7361,2.2231,1.1115
"Folic_acid","Ag_13","1ao6",-9.21,-2.24,2.9479,-0.7264,2.2215,1.1107
"Folic_acid","Ag_13","1hzh",-8.75,-2.13,2.812,-0.7051,2.1069,1.0535
"Doxorubicin_proxy_daunorubicin_aglycone","Ag_13","1ao6",-8.36,-2.24,2.3796,-0.7264,1.6532,0.8266
"Doxorubicin_proxy_daunorubicin_aglycone","Ag_13","1hzh",-7.94,-2.13,2.2487,-0.7051,1.5436,0.7718
"Curcumin","Ag_13","2hav",-8.929,-2.17,2.2636,-0.7361,1.5276,0.7638
"Doxorubicin_proxy_daunorubicin_aglycone","Ag_13","2hav",-8.502,-2.17,2.0079,-0.7361,1.2718,0.6359
"Tannic_acid_approx","Ag_13","1hzh",-7.524,-2.13,1.9595,-0.7051,1.2544,0.6272
"Curcumin","Ag_13","1ao6",-7.742,-2.24,1.9663,-0.7264,1.2399,0.62
"Methotrexate","Ag_13","1hzh",-7.407,-2.13,1.8781,-0.7051,1.173,0.5865
