mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.30263628959655764,0.0053918394305488984,0.04700527191162109,0.0003540071176925871,,sqrt,1,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.6531689464156513,-0.8143087613995176,-0.4547446986844337,-0.37774455651640776,-0.9844101455932249,-0.6568754217218471,0.22398609726888166,9
0.5527469158172608,0.004911140210627619,0.07880091667175293,0.0009996944982763793,,sqrt,1,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.6556425117935157,-0.8224497062283952,-0.4635902637907715,-0.3771041701745286,-0.9656712359421055,-0.6568915775858633,0.21835856878099982,10
0.2836301803588867,0.0007567447675457541,0.04746718406677246,0.000573931103960411,,sqrt,2,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.6639342296737167,-0.8288888627117128,-0.46666214546981116,-0.37362287526375837,-1.0250341294118581,-0.6716284485061715,0.2368561256289921,30
0.5579684734344482,0.014692396882880054,0.07245326042175293,0.006447925252050645,,sqrt,2,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",-0.6459573598123557,-0.8371446730114372,-0.46846156348763957,-0.37274486310544497,-0.9947038126560306,-0.6638024544145816,0.22923100408203342,20
0.28874478340148924,0.008162053334022552,0.04751133918762207,0.0004358882936978203,,sqrt,4,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",-0.736708067727304,-1.0117489623499847,-0.5509177663921784,-0.4730659742758624,-1.0639064724345153,-0.7672694486359689,0.23751273197545494,52
0.5382834911346436,0.027105453691135633,0.07028260231018066,0.007700337867161931,,sqrt,4,600,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 600}",-0.7291438552582054,-1.011527893001072,-0.5543600504649898,-0.46064939431053153,-1.0669949426844685,-0.7645352271438535,0.2409398306652127,49
0.27757916450500486,0.013575699597914354,0.050904035568237305,0.006497691747448225,,0.5,1,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-0.6697390751379746,-0.8036964644495785,-0.5330166042998798,-0.41118633497833645,-0.8570507202217601,-0.6549378398175059,0.16581761376659973,4
0.5276131153106689,0.02430364890603197,0.06678957939147949,0.0053621977161522495,,0.5,1,600,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 1, 'model__n_estimators': 600}",-0.6835791460422546,-0.8065275543253467,-0.5153133705293004,-0.4224767226180371,-0.8423778840037747,-0.6540549355037426,0.16276535378567566,3
0.277895450592041,0.008595001637348769,0.04191179275512695,0.007770566544062538,,0.5,2,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__n_estimators': 300}",-0.662081910800619,-0.8194484693043117,-0.5502133133249716,-0.4132201895923816,-0.8801483454838978,-0.6650224457012364,0.17130131892496273,23
0.5154979228973389,0.007379419390197729,0.06721019744873047,0.006107930253943375,,0.5,2,600,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__n_estimators': 600}",-0.6770680379364179,-0.8152450778795187,-0.5239062704597969,-0.41648317488022574,-0.8581398054940226,-0.6581684733299964,0.16820042183828668,12
0.27672557830810546,0.013493882974642973,0.044108343124389646,0.005611619538962683,,0.5,4,300,"{'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 4, 'model__n_estimators': 300}",-0.710346423026265,-0.9488320748071238,-0.6225692537348937,-0.48513816029058,-0.9953096326290045,-0.7524391088975734,0.19372354475714307,40
