modelo,salida,MAE,RMSE,R2
Ridge,y_1ao6,0.24604560327350586,0.2980925497142372,0.9517879247916614
Ridge,y_1hzh,0.27298592579951975,0.3350724784275983,0.9407900942983679
Ridge,y_2hav,0.23122812334543338,0.31219581755616166,0.9526673178179406
Ridge,y_3ghg,0.26069342081507857,0.3036226048226581,0.9430233438141477
Ridge,media,0.2527382683083844,0.31256425285595457,0.9470671701805294
PLSRegression,y_1ao6,0.2270740514997401,0.2947238460590983,0.9528714439537039
PLSRegression,y_1hzh,0.19268880411517922,0.24034170207933325,0.9695368282960283
PLSRegression,y_2hav,0.18577146135958922,0.19944588367543814,0.9806822247585312
PLSRegression,y_3ghg,0.27835442023826723,0.3169969104965486,0.9378932485829954
PLSRegression,media,0.22097218430319393,0.26687636696309924,0.9602459363978146
RandomForest,y_1ao6,0.48356342424243215,0.6573529352088202,0.7655496989108387
RandomForest,y_1hzh,0.5147164469696964,0.6494200448560785,0.7775828701972205
RandomForest,y_2hav,0.48276641666666437,0.5884570839029387,0.8318346387456571
RandomForest,y_3ghg,0.547262371212112,0.672086609382124,0.7208232548438918
RandomForest,media,0.5070771647727264,0.642619916084701,0.7739476156744021
ExtraTrees,y_1ao6,0.27379379797979664,0.37870019948901673,0.9221883455232253
ExtraTrees,y_1hzh,0.28679470707070803,0.34913201764911744,0.9357169891399123
ExtraTrees,y_2hav,0.27529540909090655,0.3471964718968942,0.9414593472442587
ExtraTrees,y_3ghg,0.3718666717171695,0.4367785000850128,0.882089831625361
ExtraTrees,media,0.30193764646464516,0.3796800808163792,0.9203636283831893
