"nanoparticula","proteina","E_nano_proteina","n_energias_detectadas","archivo","estado"
"ZnO_12_0","1ao6",-7.76,22,"ZnO_12_0_1ao6.dlg","ok"
"Au_13","1ao6",-2.34,22,"Au_13_1ao6.dlg","ok"
"Ag_13","1ao6",-2.24,22,"Ag_13_1ao6.dlg","ok"
"ZnO_12_0","1hzh",-7.38,22,"ZnO_12_0_1hzh.dlg","ok"
"Ag_13","1hzh",-2.13,20,"Ag_13_1hzh.dlg","ok"
"Au_13","1hzh",-2.12,19,"Au_13_1hzh.dlg","ok"
"ZnO_12_0","2hav",-8.44,21,"ZnO_12_0_2hav.dlg","ok"
"Au_13","2hav",-2.34,21,"Au_13_2hav.dlg","ok"
"Ag_13","2hav",-2.17,23,"Ag_13_2hav.dlg","ok"
